x,y,u_exact,u_approx
0,0,1,1
0,0.0333333,0.999396,0.999445
0,0.0666667,0.997742,0.997782
0,0.1,0.995002,0.995021
0,0.133333,0.991127,0.991176
0,0.166667,0.986243,0.98627
0,0.2,0.980298,0.980328
0,0.233333,0.973337,0.973382
0,0.266667,0.965458,0.965468
0,0.3,0.956593,0.956628
0,0.333333,0.946871,0.946905
0,0.366667,0.936343,0.936348
0,0.4,0.924974,0.925007
0,0.433333,0.912913,0.912936
0,0.466667,0.900174,0.900188
0,0.5,0.886792,0.886819
0,0.533333,0.872875,0.872886
0,0.566667,0.858429,0.858444
0,0.6,0.843533,0.843551
0,0.633333,0.828259,0.828261
0,0.666667,0.812616,0.812628
0,0.7,0.796696,0.796705
0,0.733333,0.780542,0.780544
0,0.766667,0.764187,0.764194
0,0.8,0.747697,0.7477
0,0.833333,0.731106,0.731108
0,0.866667,0.714459,0.71446
0,0.9,0.697795,0.697795
0,0.933333,0.681152,0.68115
0,0.966667,0.664563,0.664559
0,1,0.648054,0.648054
0.0333333,0,0.999396,0.999445
0.0333333,0.0333333,0.99766,0.99791
0.0333333,0.0666667,0.994884,0.99531
0.0333333,0.1,0.991044,0.991659
0.0333333,0.133333,0.986103,0.986976
0.0333333,0.166667,0.980195,0.981284
0.0333333,0.2,0.973278,0.974612
0.0333333,0.233333,0.965408,0.966994
0.0333333,0.266667,0.956683,0.958467
0.0333333,0.3,0.947051,0.949073
0.0333333,0.333333,0.936637,0.938858
0.0333333,0.366667,0.925496,0.927869
0.0333333,0.4,0.913601,0.916158
0.0333333,0.433333,0.901093,0.903777
0.0333333,0.466667,0.887987,0.890781
0.0333333,0.5,0.87432,0.877224
0.0333333,0.533333,0.860187,0.863164
0.0333333,0.566667,0.845594,0.848656
0.0333333,0.6,0.830611,0.833758
0.0333333,0.633333,0.815295,0.818524
0.0333333,0.666667,0.799652,0.803012
0.0333333,0.7,0.783754,0.787277
0.0333333,0.733333,0.76763,0.771374
0.0333333,0.766667,0.751292,0.755364
0.0333333,0.8,0.734786,0.73931
0.0333333,0.833333,0.718118,0.723292
0.0333333,0.866667,0.701292,0.707433
0.0333333,0.9,0.684311,0.691992
0.0333333,0.933333,0.667122,0.67791
0.0333333,0.966667,0.649639,0.678088
0.0333333,1,0.631671,0.631665
0.0666667,0,0.997742,0.997782
0.0666667,0.0333333,0.994884,0.995307
0.0666667,0.0666667,0.990995,0.99181
0.0666667,0.1,0.986064,0.987309
0.0666667,0.133333,0.980064,0.981825
0.0666667,0.166667,0.973138,0.975385
0.0666667,0.2,0.965256,0.968019
0.0666667,0.233333,0.95648,0.959763
0.0666667,0.266667,0.946913,0.950656
0.0666667,0.3,0.936515,0.940741
0.0666667,0.333333,0.925411,0.930062
0.0666667,0.366667,0.913657,0.918669
0.0666667,0.4,0.901238,0.906611
0.0666667,0.433333,0.888282,0.893943
0.0666667,0.466667,0.874811,0.880717
0.0666667,0.5,0.860858,0.86699
0.0666667,0.533333,0.846508,0.852815
0.0666667,0.566667,0.83177,0.838251
0.0666667,0.6,0.8167,0.823353
0.0666667,0.633333,0.801346,0.808178
0.0666667,0.666667,0.785706,0.792781
0.0666667,0.7,0.769836,0.777222
0.0666667,0.733333,0.75375,0.76156
0.0666667,0.766667,0.737442,0.745861
0.0666667,0.8,0.720938,0.730201
0.0666667,0.833333,0.704218,0.714686
0.0666667,0.866667,0.687252,0.699495
0.0666667,0.9,0.670015,0.685039
0.0666667,0.933333,0.652393,0.672835
0.0666667,0.966667,0.634259,0.681171
0.0666667,1,0.615423,0.615417
0.1,0,0.995002,0.995021
0.1,0.0333333,0.991044,0.991648
0.1,0.0666667,0.986064,0.987295
0.1,0.1,0.98006,0.981984
0.1,0.133333,0.97302,0.975739
0.1,0.166667,0.965092,0.968589
0.1,0.2,0.956259,0.960567
0.1,0.233333,0.946592,0.951708
0.1,0.266667,0.936194,0.942054
0.1,0.3,0.925042,0.931647
0.1,0.333333,0.913257,0.920533
0.1,0.366667,0.900898,0.90876
0.1,0.4,0.88796,0.89638
0.1,0.433333,0.874564,0.883444
0.1,0.466667,0.860731,0.870005
0.1,0.5,0.846498,0.856119
0.1,0.533333,0.831937,0.841839
0.1,0.566667,0.817057,0.827223
0.1,0.6,0.801906,0.812324
0.1,0.633333,0.78652,0.797199
0.1,0.666667,0.770891,0.781905
0.1,0.7,0.755058,0.7665
0.1,0.733333,0.739024,0.751044
0.1,0.766667,0.722765,0.735606
0.1,0.8,0.70629,0.720268
0.1,0.833333,0.689556,0.705145
0.1,0.866667,0.67251,0.690438
0.1,0.9,0.655106,0.676611
0.1,0.933333,0.6372,0.665314
0.1,0.966667,0.618662,0.672948
0.1,1,0.599337,0.599334
0.133333,0,0.991127,0.991176
0.133333,0.0333333,0.986103,0.986949
0.133333,0.0666667,0.980064,0.981783
0.133333,0.1,0.97302,0.975704
0.133333,0.133333,0.964971,0.968738
0.133333,0.166667,0.95607,0.960917
0.133333,0.2,0.946313,0.952275
0.133333,0.233333,0.935779,0.94285
0.133333,0.266667,0.924575,0.932681
0.133333,0.3,0.912689,0.921813
0.133333,0.333333,0.900242,0.910292
0.133333,0.366667,0.887295,0.898165
0.133333,0.4,0.873854,0.885482
0.133333,0.433333,0.86003,0.872296
0.133333,0.466667,0.845848,0.858659
0.133333,0.5,0.831344,0.844623
0.133333,0.533333,0.816581,0.830244
0.133333,0.566667,0.801569,0.815574
0.133333,0.6,0.786345,0.800669
0.133333,0.633333,0.770936,0.785583
0.133333,0.666667,0.75533,0.77037
0.133333,0.7,0.739549,0.755087
0.133333,0.733333,0.723585,0.739793
0.133333,0.766667,0.707402,0.724554
0.133333,0.8,0.690991,0.709448
0.133333,0.833333,0.674294,0.694584
0.133333,0.866667,0.65724,0.680149
0.133333,0.9,0.639773,0.666558
0.133333,0.933333,0.621734,0.655201
0.133333,0.966667,0.603002,0.657217
0.133333,1,0.583449,0.583439
0.166667,0,0.986243,0.98627
0.166667,0.0333333,0.980195,0.981231
0.166667,0.0666667,0.973138,0.975296
0.166667,0.1,0.965092,0.968492
0.166667,0.133333,0.95607,0.960847
0.166667,0.166667,0.946232,0.952395
0.166667,0.2,0.935585,0.943171
0.166667,0.233333,0.924216,0.933214
0.166667,0.266667,0.912233,0.922564
0.166667,0.3,0.89964,0.911265
0.166667,0.333333,0.886556,0.899363
0.166667,0.366667,0.873043,0.886906
0.166667,0.4,0.859118,0.873942
0.166667,0.433333,0.844883,0.860522
0.166667,0.466667,0.830367,0.846699
0.166667,0.5,0.815605,0.832522
0.166667,0.533333,0.800652,0.818045
0.166667,0.566667,0.785519,0.80332
0.166667,0.6,0.770233,0.7884
0.166667,0.633333,0.754812,0.773335
0.166667,0.666667,0.739241,0.758178
0.166667,0.7,0.723527,0.742982
0.166667,0.733333,0.707653,0.727801
0.166667,0.766667,0.69157,0.712692
0.166667,0.8,0.675257,0.697724
0.166667,0.833333,0.658645,0.682984
0.166667,0.866667,0.641647,0.668612
0.166667,0.9,0.624204,0.654897
0.166667,0.933333,0.606148,0.642727
0.166667,0.966667,0.587369,0.637819
0.166667,1,0.567756,0.567751
0.2,0,0.980298,0.980328
0.2,0.0333333,0.973278,0.974524
0.2,0.0666667,0.965256,0.967864
0.2,0.1,0.956259,0.960377
0.2,0.133333,0.946313,0.952096
0.2,0.166667,0.935585,0.943053
0.2,0.2,0.924092,0.933285
0.2,0.233333,0.911929,0.922831
0.2,0.266667,0.899207,0.911733
0.2,0.3,0.885943,0.900034
0.2,0.333333,0.872254,0.887778
0.2,0.366667,0.858204,0.875014
0.2,0.4,0.843822,0.861789
0.2,0.433333,0.8292,0.848152
