method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,14.6241521202,7465.6879419085,12,8
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,522.3805911649,2614.5165982481,5,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,10000.0000000000,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0007615238,8.6242542770,10,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0004000000,10000.0000000000,4,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,400.7609272011,3,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,14
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.3308375000,3,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.0000000000,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,10000.0000000000,10000.0000000000,22,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0014931968,1.6012921402,5,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,4003.1029601118,2552.1265884887,14,9
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,2550.1640256944,11,3
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0291009532,1.0781410327,13,3
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0004000000,10000.0000000000,9,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,3.0879327253,3,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.4129312500,3,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000640196,0.9439197995,14,3
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0001956249,13.6861537456,25,4
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,7.6938812500,7,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,2.4054312500,3,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.7080734183,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,14
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,13.5058489724,3,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000001975,2551.7758516648,10,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,10000.0000000000,2550.4178727396,17,9
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0003161152,3.6706626594,2,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,2.1561156472,5,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.6113929196,2550.0000243549,18,4
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,18.7057628986,5,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,16
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0088482650,3.1141458572,12,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,2.4054312500,3,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000262919,2500.4406258577,12,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.4129312500,1,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.8242551841,7,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,14
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,10000.0000000000,5,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,2674.0363622994,2555.1015420009,14,9
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.5714053529,7.2313310816,11,9
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0001976351,5.4804480245,13,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000026316,1.1066889531,10,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.4129312500,1,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.3308375000,3,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000728003,2500.9926574582,13,3
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000472049,4.6912460236,5,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,10000.0000000000,10000.0000000000,5,11
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,10000.0000000000,10000.0000000000,13,8
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.4179062500,1,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,16
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,12
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000388575,2.0708963662,9,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,12
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,2.4054312500,3,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,745.9590272229,2541.2535128624,18,10
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.2681395992,3,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0152689799,89.8663993787,10,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,54.1972982619,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000371789,3.4504497804,5,3
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,135.4338704268,2602.2344320835,10,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,557.5248592804,6369.1223655047,21,8
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000469890,5.6319313900,6,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,17
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.4129312500,1,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0179042933,0.4940104632,3,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000760042,7.1281335493,10,3
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,10000.0000000000,11,4
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,2.4054312500,3,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.4129312500,1,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.1731781896,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,174.7490688094,5217.2218512533,33,9
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000288087,415.8814642831,5,3
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.0000000000,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0022552824,10000.0000000000,10,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,2641.7967182255,3534.2079471138,17,8
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.4129312500,1,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.0000000000,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.4129312500,1,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1689.9020081807,2405.9068188094,6,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,9973.3252900213,9940.5799814299,19,8
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,3.0511721713,3,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.4204312501,5,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,164.8506468070,2505.8174881304,6,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0011963130,58.0897396560,25,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.7880901537,48.7580172954,19,9
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000388575,1.0872352566,4,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0001397984,19.0870068429,4,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0092424568,2.2893641783,6,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,762.1066601999,28.4289753666,20,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,30.0785250224,10000.0000000000,13,9
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000397984,10000.0000000000,4,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,2985.3572175224,3546.5041999800,31,8
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.5800256584,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,10000.0000000000,9,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.3308375000,3,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000745899,2.7490104176,4,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0009000000,543.7876986736,5,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,12
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0001778586,1.6515784967,5,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,10000.0000000000,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0020406842,0.4503973467,7,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,135.4214118696,2550.7274756695,5,11
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000287218,2550.5083944778,12,10
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000652691,0.3252648267,10,3
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,14.6565905612,5,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0081000329,2502.2474685908,8,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,2461.9646985223,6633.9014643980,13,8
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,599.8188942584,2627.9703428627,8,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0004000000,4.7792419813,5,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,3.9858726161,1.6629126131,56,8
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.8004172420,0.3639947059,5,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0001379715,0.2744384445,4,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0073672680,0.9231586583,5,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,2.7886650257,11.5965479922,15,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0013836856,4.6239292330,7,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.3308375000,3,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0001000000,0.2924072451,5,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,4.0000000000,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.0000000000,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.2510924712,2671.4304004729,11,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,7384.6620086867,6605.4253133039,6,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0002123157,0.0056061959,9,4
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,14
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0001397984,1.5434794269,2,6
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.3308375000,3,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,10000.0000000000,11,3
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0001024041,15.3169763959,10,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0003906507,0.2788875135,13,10
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.3308375000,3,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0007959683,7.4271633674,6,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.3308375000,5,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.3308375000,5,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0510980672,3.2963082866,10,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.3308375000,3,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,1.0000000001,1,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,2441.8278371210,10000.0000000000,26,10
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000503463,3.3725079007,4,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000485908,10000.0000000000,17,5
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0716171733,4.4434333958,5,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.4179062500,1,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0018738147,2551.2693225270,14,5
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,13
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0000000000,0.4707733116,12,3
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,663.4106286783,7506.4294039598,19,7
PISR-NSGA-II,Navier-Stokes-Unsteady,2,-1,0.0004000000,1.1808481029,5,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.7808379403,0.3709246612,10,1
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0000002307,2626.7578421195,10,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0000263350,2750.4184808023,12,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0000026306,1.0907518958,10,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0000443759,2.0304550382,9,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0000378215,5.5869816974,6,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0177226123,0.4776855426,3,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0108844215,2.1708814509,6,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0000747696,2.7743367442,4,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0009000000,545.5109008530,5,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0101165480,2314.8376461144,8,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0004000000,4.6668074561,5,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0001374766,0.2669593266,4,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0087648456,0.8629379731,5,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0014010224,4.6003469551,7,2
PISR-NSGA-II,Navier-Stokes-Unsteady,2,0,0.0000936353,15.5681365611,10,2
