method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Navier-Stokes,2,6.9691566570,0.2466414889,5,2
PISR-NSGA-II,Navier-Stokes,2,0.5365574346,0.0037625271,13,1
PISR-NSGA-II,Navier-Stokes,2,0.0003273019,0.4172681908,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0003273020,0.4172681908,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0184672079,0.0560226235,20,1
PISR-NSGA-II,Navier-Stokes,2,2.1287957609,0.3004384545,5,2
PISR-NSGA-II,Navier-Stokes,2,0.1299400760,0.1642285288,7,3
PISR-NSGA-II,Navier-Stokes,2,0.5646193818,0.3352921722,5,2
PISR-NSGA-II,Navier-Stokes,2,0.0022725091,0.1569134036,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0003274498,0.4172680430,5,1
PISR-NSGA-II,Navier-Stokes,2,0.0080076814,0.1458593335,6,1
PISR-NSGA-II,Navier-Stokes,2,2.1240149688,0.3021356979,5,2
PISR-NSGA-II,Navier-Stokes,2,0.0182555441,0.0562274893,20,1
PISR-NSGA-II,Navier-Stokes,2,0.0200077759,0.0551763851,18,1
PISR-NSGA-II,Navier-Stokes,2,0.0253686893,0.0982684087,6,2
PISR-NSGA-II,Navier-Stokes,2,0.0232928023,0.0540832724,11,1
PISR-NSGA-II,Navier-Stokes,2,0.5433887267,0.0068074193,11,1
PISR-NSGA-II,Navier-Stokes,2,0.0519172437,0.0785216424,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0296591178,0.0939679718,8,2
PISR-NSGA-II,Navier-Stokes,2,0.8775669383,0.0100153777,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0030133881,0.1547448910,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0190551440,0.0571801325,13,1
PISR-NSGA-II,Navier-Stokes,2,0.0193875374,0.0566765705,16,1
PISR-NSGA-II,Navier-Stokes,2,0.0071061789,0.0725323693,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0183456247,0.0570028903,17,1
PISR-NSGA-II,Navier-Stokes,2,0.0142424834,0.0606376439,15,1
PISR-NSGA-II,Navier-Stokes,2,0.0133634213,0.0609258429,17,1
PISR-NSGA-II,Navier-Stokes,2,0.0187603229,0.0576061034,11,1
PISR-NSGA-II,Navier-Stokes,2,0.8774453291,0.0100980086,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0302624599,0.0925675454,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0204434705,0.0549394302,16,1
PISR-NSGA-II,Navier-Stokes,2,0.0200125774,0.0551638593,18,1
PISR-NSGA-II,Navier-Stokes,2,0.0203761980,0.0554638109,9,1
PISR-NSGA-II,Navier-Stokes,2,0.0149988367,0.0598917362,15,1
PISR-NSGA-II,Navier-Stokes,2,0.0200921683,0.0553212557,14,1
PISR-NSGA-II,Navier-Stokes,2,0.0071136896,0.0725247966,10,1
PISR-NSGA-II,Navier-Stokes,2,0.0203747920,0.0554651900,9,1
PISR-NSGA-II,Navier-Stokes,2,0.0200911932,0.0553223590,14,1
PISR-NSGA-II,Navier-Stokes,2,0.0071145563,0.0725239285,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0003273019,0.4172681908,5,1
PISR-NSGA-II,Navier-Stokes,2,0.8773944370,0.0101433276,10,1
PISR-NSGA-II,Navier-Stokes,2,0.7156496996,0.3241649720,5,2
PISR-NSGA-II,Navier-Stokes,2,0.0028521103,0.1549559262,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0237087115,0.0560519845,16,2
PISR-NSGA-II,Navier-Stokes,2,0.0142136799,0.0615115770,15,2
PISR-NSGA-II,Navier-Stokes,2,0.0062702591,0.0742411668,12,1
PISR-NSGA-II,Navier-Stokes,2,0.0333041196,0.0898354651,8,1
PISR-NSGA-II,Navier-Stokes,2,0.0030327038,0.1547255740,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0080076808,0.1458593340,6,1
PISR-NSGA-II,Navier-Stokes,2,0.0113751256,0.0641496528,15,1
