gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,28.3123,0,28.3123,0.00464232
1,5.66873,0,5.66873,0.0019477
2,5.66873,0,5.66873,0.00194769
3,5.66873,0,5.66873,0.00194755
4,5.66873,0,5.66873,0.00194755
5,5.66873,0,5.66873,0.00194755
6,5.66873,0,5.66873,0.00194755
7,5.66873,0,5.66873,0.00194755
8,5.66873,0,5.66873,0.00194755
9,5.66873,0,5.66873,0.00194755
10,5.66873,0,5.66873,0.00194755
11,5.66873,0,5.66873,0.00194755
12,5.66873,0,5.66873,0.00194755
13,5.66873,0,5.66873,0.00194755
14,5.66873,0,5.66873,0.00194755
15,5.66873,0,5.66873,0.00194755
16,5.66873,0,5.66873,0.00194755
17,5.66873,0,5.66873,0.00194755
18,5.66873,0,5.66873,0.00194755
19,5.66873,0,5.66873,0.00194755
20,5.66873,0,5.66873,0.00194755
21,5.66873,0,5.66873,0.00194755
22,5.66873,0,5.66873,0.00194755
23,5.66873,0,5.66873,0.00194755
24,5.66873,0,5.66873,0.00194755
25,6.05348,0,6.05348,0.00194755
26,6.05345,0,6.05345,0.00194755
27,6.05345,0,6.05345,0.00194755
28,6.05345,0,6.05345,0.00194755
29,6.05345,0,6.05345,0.00194755
30,6.05345,0,6.05345,0.00194755
31,6.05345,0,6.05345,0.00194755
32,6.05345,0,6.05345,0.00194755
33,6.05345,0,6.05345,0.00194755
34,6.05345,0,6.05345,0.00194755
35,6.05345,0,6.05345,0.00194755
36,6.05345,0,6.05345,0.00194755
37,6.05345,0,6.05345,0.00194755
38,6.05345,0,6.05345,0.00194755
39,6.05345,0,6.05345,0.00194755
40,6.05345,0,6.05345,0.00194755
41,6.05345,0,6.05345,0.00194755
42,6.05345,0,6.05345,0.00194755
43,6.05345,0,6.05345,0.00194755
44,6.05345,0,6.05345,0.00194755
45,6.05345,0,6.05345,0.00194755
46,6.05345,0,6.05345,0.00194755
47,6.05345,0,6.05345,0.00194755
48,6.05345,0,6.05345,0.00194755
49,6.05345,0,6.05345,0.00194755
50,4.80763,0,4.80763,0.00194755
51,4.80763,0,4.80763,0.00194755
52,4.80763,0,4.80763,0.00194755
53,4.80763,0,4.80763,0.00194755
54,4.80763,0,4.80763,0.00194755
55,4.80763,0,4.80763,0.00194755
56,4.80763,0,4.80763,0.00194755
57,4.80763,0,4.80763,0.00194755
58,4.80763,0,4.80763,0.00194755
59,4.80763,0,4.80763,0.00194755
60,4.80763,0,4.80763,0.00194755
61,4.80763,0,4.80763,0.00194755
62,4.80763,0,4.80763,0.00194755
63,4.80763,0,4.80763,0.00194755
64,4.80763,0,4.80763,0.00194755
65,4.80763,0,4.80763,0.00194755
66,4.80763,0,4.80763,0.00194755
67,4.80763,0,4.80763,0.00194755
68,4.80763,0,4.80763,0.00194755
69,4.80763,0,4.80763,0.00194755
70,4.80763,0,4.80763,0.00194755
71,4.80763,0,4.80763,0.00194755
72,4.80763,0,4.80763,0.00194755
73,4.80763,0,4.80763,0.00194755
74,4.80763,0,4.80763,0.00194755
75,3.76349,0,3.76349,0.00194755
76,3.76347,0,3.76347,0.00194755
77,3.76347,0,3.76347,0.00194755
78,3.76347,0,3.76347,0.00194755
79,3.76348,0,3.76348,0.00194755
80,3.76347,0,3.76347,0.00194755
81,3.76347,0,3.76347,0.00194755
82,3.76347,0,3.76347,0.00194755
83,3.76347,0,3.76347,0.00194755
84,3.76347,0,3.76347,0.00194755
85,3.76347,0,3.76347,0.00194755
86,3.76347,0,3.76347,0.00194755
87,3.76347,0,3.76347,0.00194755
88,3.76347,0,3.76347,0.00194755
89,3.76347,0,3.76347,0.00194755
90,3.76347,0,3.76347,0.00194755
91,3.76347,0,3.76347,0.00194755
92,3.76347,0,3.76347,0.00194755
93,3.76347,0,3.76347,0.00194755
94,3.76347,0,3.76347,0.00194755
95,3.76347,0,3.76347,0.00194755
96,3.76347,0,3.76347,0.00194755
97,3.76347,0,3.76347,0.00194755
98,3.76347,0,3.76347,0.00194755
99,3.76347,0,3.76347,0.00194755
100,3.09318,0,3.09318,0.00194755
101,3.09318,0,3.09318,0.00194755
102,3.09318,0,3.09318,0.00194755
103,3.09318,0,3.09318,0.00194755
104,3.09318,0,3.09318,0.00194755
105,3.09318,0,3.09318,0.00194755
106,3.09318,0,3.09318,0.00194755
107,3.09318,0,3.09318,0.00194755
108,3.09318,0,3.09318,0.00194755
109,3.09318,0,3.09318,0.00194755
110,3.09318,0,3.09318,0.00194755
111,3.09318,0,3.09318,0.00194755
112,3.09318,0,3.09318,0.00194755
113,3.09318,0,3.09318,0.00194755
114,3.09318,0,3.09318,0.00194755
115,3.09318,0,3.09318,0.00194755
116,3.09318,0,3.09318,0.00194755
117,3.09318,0,3.09318,0.00194755
118,3.09318,0,3.09318,0.00194755
119,3.09318,0,3.09318,0.00194755
120,3.09318,0,3.09318,0.00194755
121,3.09318,0,3.09318,0.00194755
122,3.09318,0,3.09318,0.00194755
123,3.09318,0,3.09318,0.00194755
124,3.09318,0,3.09318,0.00194755
125,2.58471,0,2.58471,0.00194755
126,2.58471,0,2.58471,0.00194755
127,2.58471,0,2.58471,0.00194755
128,2.58471,0,2.58471,0.00194755
129,2.58471,0,2.58471,0.00194755
130,2.58471,0,2.58471,0.00194755
131,2.58471,0,2.58471,0.00194755
132,2.58471,0,2.58471,0.00194755
133,2.58471,0,2.58471,0.00194755
134,2.58471,0,2.58471,0.00194755
135,2.58471,0,2.58471,0.00194755
136,2.58471,0,2.58471,0.00194755
137,2.58471,0,2.58471,0.00194755
138,2.58471,0,2.58471,0.00194755
139,2.58471,0,2.58471,0.00194755
140,2.58471,0,2.58471,0.00194755
141,2.58471,0,2.58471,0.00194755
142,2.58471,0,2.58471,0.00194755
143,2.58471,0,2.58471,0.00194755
144,2.58471,0,2.58471,0.00194755
145,2.58471,0,2.58471,0.00194755
146,2.58471,0,2.58471,0.00194755
147,2.58471,0,2.58471,0.00194755
148,2.58471,0,2.58471,0.00194755
149,2.58471,0,2.58471,0.00194755
150,2.16017,0,2.16017,0.00194755
151,2.16017,0,2.16017,0.00194755
152,2.16017,0,2.16017,0.00194755
153,2.16017,0,2.16017,0.00194755
154,2.16017,0,2.16017,0.00194755
155,2.16017,0,2.16017,0.00194755
156,2.16017,0,2.16017,0.00194755
157,2.16017,0,2.16017,0.00194755
158,2.16017,0,2.16017,0.00194755
159,2.16017,0,2.16017,0.00194755
160,2.16017,0,2.16017,0.00194755
161,2.16017,0,2.16017,0.00194755
162,2.16017,0,2.16017,0.00194755
163,2.16017,0,2.16017,0.00194755
164,2.16017,0,2.16017,0.00194755
165,2.16017,0,2.16017,0.00194755
166,2.16017,0,2.16017,0.00194755
167,2.16017,0,2.16017,0.00194755
168,2.16017,0,2.16017,0.00194755
169,2.16017,0,2.16017,0.00194755
170,2.16017,0,2.16017,0.00194755
171,2.16017,0,2.16017,0.00194755
172,2.16017,0,2.16017,0.00194755
173,2.16017,0,2.16017,0.00194755
174,2.16017,0,2.16017,0.00194755
175,2.05971,0,2.05971,0.00194755
176,2.05971,0,2.05971,0.00194755
177,2.05971,0,2.05971,0.00194755
178,2.05971,0,2.05971,0.00194755
179,2.05971,0,2.05971,0.00194755
180,2.05971,0,2.05971,0.00194755
181,2.05971,0,2.05971,0.00194755
182,2.05971,0,2.05971,0.00194755
183,2.05971,0,2.05971,0.00194755
184,2.05971,0,2.05971,0.00194755
185,2.05971,0,2.05971,0.00194755
186,2.05971,0,2.05971,0.00194755
187,2.05971,0,2.05971,0.00194755
188,2.05971,0,2.05971,0.00194755
189,2.05971,0,2.05971,0.00194755
190,2.05971,0,2.05971,0.00194755
191,2.05971,0,2.05971,0.00194755
192,2.05971,0,2.05971,0.00194755
193,2.05971,0,2.05971,0.00194755
194,2.05971,0,2.05971,0.00194755
195,2.05971,0,2.05971,0.00194755
196,2.05971,0,2.05971,0.00194755
197,2.05971,0,2.05971,0.00194755
198,2.05971,0,2.05971,0.00194755
199,2.05971,0,2.05971,0.00194755
