x,u_exact,u_approx
0.000000,0.500000,0.500000
0.010000,0.502500,0.503484
0.020000,0.505000,0.506943
0.030000,0.507499,0.510377
0.040000,0.509999,0.513785
0.050000,0.512497,0.517169
0.060000,0.514996,0.520528
0.070000,0.517493,0.523862
0.080000,0.519989,0.527171
0.090000,0.522485,0.530455
0.100000,0.524979,0.533714
0.110000,0.527472,0.536948
0.120000,0.529964,0.540158
0.130000,0.532454,0.543342
0.140000,0.534943,0.546502
0.150000,0.537430,0.549637
0.160000,0.539915,0.552747
0.170000,0.542398,0.555833
0.180000,0.544879,0.558894
0.190000,0.547358,0.561930
0.200000,0.549834,0.564941
0.210000,0.552308,0.567928
0.220000,0.554779,0.570891
0.230000,0.557248,0.573829
0.240000,0.559714,0.576742
0.250000,0.562177,0.579631
0.260000,0.564636,0.582496
0.270000,0.567093,0.585336
0.280000,0.569546,0.588152
0.290000,0.571996,0.590944
0.300000,0.574443,0.593712
0.310000,0.576885,0.596455
0.320000,0.579324,0.599175
0.330000,0.581759,0.601870
0.340000,0.584191,0.604542
0.350000,0.586618,0.607190
0.360000,0.589040,0.609813
0.370000,0.591459,0.612413
0.380000,0.593873,0.614990
0.390000,0.596283,0.617542
0.400000,0.598688,0.620071
0.410000,0.601088,0.622577
0.420000,0.603483,0.625059
0.430000,0.605874,0.627517
0.440000,0.608259,0.629952
0.450000,0.610639,0.632364
0.460000,0.613014,0.634753
0.470000,0.615384,0.637118
0.480000,0.617748,0.639460
0.490000,0.620106,0.641779
0.500000,0.622459,0.644075
0.510000,0.624806,0.646349
0.520000,0.627148,0.648599
0.530000,0.629483,0.650826
0.540000,0.631812,0.653031
0.550000,0.634136,0.655214
0.560000,0.636453,0.657373
0.570000,0.638763,0.659510
0.580000,0.641067,0.661625
0.590000,0.643365,0.663717
0.600000,0.645656,0.665787
0.610000,0.647941,0.667835
0.620000,0.650219,0.669860
0.630000,0.652489,0.671864
0.640000,0.654753,0.673845
0.650000,0.657010,0.675804
0.660000,0.659260,0.677742
0.670000,0.661503,0.679657
0.680000,0.663739,0.681551
0.690000,0.665967,0.683423
0.700000,0.668188,0.685274
0.710000,0.670401,0.687103
0.720000,0.672607,0.688910
0.730000,0.674805,0.690696
0.740000,0.676996,0.692461
0.750000,0.679179,0.694204
0.760000,0.681354,0.695926
0.770000,0.683521,0.697627
0.780000,0.685680,0.699307
0.790000,0.687831,0.700966
0.800000,0.689974,0.702604
0.810000,0.692110,0.704221
0.820000,0.694236,0.705817
0.830000,0.696355,0.707393
0.840000,0.698465,0.708947
0.850000,0.700567,0.710481
0.860000,0.702661,0.711995
0.870000,0.704746,0.713488
0.880000,0.706822,0.714960
0.890000,0.708890,0.716412
0.900000,0.710950,0.717844
0.910000,0.713000,0.719256
0.920000,0.715042,0.720647
0.930000,0.717075,0.722018
0.940000,0.719100,0.723370
0.950000,0.721115,0.724701
0.960000,0.723122,0.726012
0.970000,0.725119,0.727303
0.980000,0.727108,0.728575
0.990000,0.729088,0.729827
1.000000,0.731059,0.731059
