x,u_exact,u_approx
0.000000,1.000000,0.964143
0.010000,0.999983,0.964144
0.020000,0.999933,0.964145
0.030000,0.999850,0.964146
0.040000,0.999733,0.964149
0.050000,0.999583,0.964152
0.060000,0.999400,0.964155
0.070000,0.999183,0.964159
0.080000,0.998933,0.964163
0.090000,0.998650,0.964167
0.100000,0.998333,0.964171
0.110000,0.997983,0.964175
0.120000,0.997600,0.964178
0.130000,0.997183,0.964180
0.140000,0.996733,0.964180
0.150000,0.996250,0.964178
0.160000,0.995733,0.964173
0.170000,0.995183,0.964165
0.180000,0.994600,0.964153
0.190000,0.993983,0.964135
0.200000,0.993333,0.964112
0.210000,0.992650,0.964080
0.220000,0.991933,0.964041
0.230000,0.991183,0.963991
0.240000,0.990400,0.963930
0.250000,0.989583,0.963856
0.260000,0.988733,0.963768
0.270000,0.987850,0.963664
0.280000,0.986933,0.963543
0.290000,0.985983,0.963403
0.300000,0.985000,0.963243
0.310000,0.983983,0.963061
0.320000,0.982933,0.962856
0.330000,0.981850,0.962626
0.340000,0.980733,0.962370
0.350000,0.979583,0.962087
0.360000,0.978400,0.961774
0.370000,0.977183,0.961432
0.380000,0.975933,0.961057
0.390000,0.974650,0.960649
0.400000,0.973333,0.960205
0.410000,0.971983,0.959726
0.420000,0.970600,0.959208
0.430000,0.969183,0.958650
0.440000,0.967733,0.958051
0.450000,0.966250,0.957408
0.460000,0.964733,0.956721
0.470000,0.963183,0.955987
0.480000,0.961600,0.955205
0.490000,0.959983,0.954374
0.500000,0.958333,0.953491
0.510000,0.956650,0.952555
0.520000,0.954933,0.951566
0.530000,0.953183,0.950520
0.540000,0.951400,0.949418
0.550000,0.949583,0.948258
0.560000,0.947733,0.947038
0.570000,0.945850,0.945760
0.580000,0.943933,0.944420
0.590000,0.941983,0.943020
0.600000,0.940000,0.941558
0.610000,0.937983,0.940034
0.620000,0.935933,0.938450
0.630000,0.933850,0.936804
0.640000,0.931733,0.935097
0.650000,0.929583,0.933331
0.660000,0.927400,0.931506
0.670000,0.925183,0.929623
0.680000,0.922933,0.927684
0.690000,0.920650,0.925691
0.700000,0.918333,0.923646
0.710000,0.915983,0.921551
0.720000,0.913600,0.919408
0.730000,0.911183,0.917221
0.740000,0.908733,0.914992
0.750000,0.906250,0.912723
0.760000,0.903733,0.910420
0.770000,0.901183,0.908083
0.780000,0.898600,0.905718
0.790000,0.895983,0.903327
0.800000,0.893333,0.900914
0.810000,0.890650,0.898481
0.820000,0.887933,0.896032
0.830000,0.885183,0.893570
0.840000,0.882400,0.891097
0.850000,0.879583,0.888616
0.860000,0.876733,0.886128
0.870000,0.873850,0.883635
0.880000,0.870933,0.881138
0.890000,0.867983,0.878636
0.900000,0.865000,0.876131
0.910000,0.861983,0.873620
0.920000,0.858933,0.871103
0.930000,0.855850,0.868577
0.940000,0.852733,0.866038
0.950000,0.849583,0.863484
0.960000,0.846400,0.860909
0.970000,0.843183,0.858308
0.980000,0.839933,0.855675
0.990000,0.836650,0.853003
1.000000,0.833333,0.850284
