method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Poisson,1,-1,48.2683765414,0.0000000000,9,2
PISR-NSGA-II,Poisson,1,-1,48.2683765414,0.0000000000,9,2
PISR-NSGA-II,Poisson,1,-1,41.2014418214,0.0000000000,7,2
PISR-NSGA-II,Poisson,1,-1,55.3112028427,0.0000000000,6,1
PISR-NSGA-II,Poisson,1,-1,507.6492881423,0.0000000000,5,1
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,11
PISR-NSGA-II,Poisson,1,-1,78.5751537262,0.0000000000,4,2
PISR-NSGA-II,Poisson,1,-1,507.6492881423,0.0000000000,5,1
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,11
PISR-NSGA-II,Poisson,1,-1,55.3112028427,0.0000000000,6,1
PISR-NSGA-II,Poisson,1,-1,49.8362535776,0.0000000000,7,2
PISR-NSGA-II,Poisson,1,-1,48.2683765414,0.0000000000,9,2
PISR-NSGA-II,Poisson,1,-1,50.8635328235,0.0000000000,8,2
PISR-NSGA-II,Poisson,1,-1,40.9360430163,0.0000000000,4,2
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,11
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,11
PISR-NSGA-II,Poisson,1,-1,49.8362535776,0.0000000000,7,2
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,11
PISR-NSGA-II,Poisson,1,-1,49.8362535776,0.0000000000,7,2
PISR-NSGA-II,Poisson,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,11
PISR-NSGA-II,Poisson,1,-1,74.4969641157,0.0000000000,3,2
PISR-NSGA-II,Poisson,1,-1,507.6492881423,0.0000000000,5,1
PISR-NSGA-II,Poisson,1,-1,507.6492881423,0.0000000000,5,1
PISR-NSGA-II,Poisson,1,-1,74.4969641157,0.0000000000,3,2
PISR-NSGA-II,Poisson,1,-1,74.4969641157,0.0000000000,3,2
PISR-NSGA-II,Poisson,1,-1,48.7699003085,0.0000000000,3,2
PISR-NSGA-II,Poisson,1,-1,48.7699003085,0.0000000000,3,2
PISR-NSGA-II,Poisson,1,-1,507.6492881423,0.0000000000,5,1
