x,y,u_exact,u_approx
0.000000,0.000000,0.000000,-0.000200
0.000000,0.033333,0.000000,-0.000130
0.000000,0.066667,0.000000,-0.000073
0.000000,0.100000,0.000000,-0.000030
0.000000,0.133333,0.000000,0.000003
0.000000,0.166667,0.000000,0.000027
0.000000,0.200000,0.000000,0.000042
0.000000,0.233333,0.000000,0.000050
0.000000,0.266667,0.000000,0.000053
0.000000,0.300000,0.000000,0.000052
0.000000,0.333333,0.000000,0.000048
0.000000,0.366667,0.000000,0.000041
0.000000,0.400000,0.000000,0.000034
0.000000,0.433333,0.000000,0.000025
0.000000,0.466667,0.000000,0.000017
0.000000,0.500000,0.000000,0.000009
0.000000,0.533333,0.000000,0.000001
0.000000,0.566667,0.000000,-0.000007
0.000000,0.600000,0.000000,-0.000014
0.000000,0.633333,0.000000,-0.000020
0.000000,0.666667,0.000000,-0.000026
0.000000,0.700000,0.000000,-0.000032
0.000000,0.733333,0.000000,-0.000037
0.000000,0.766667,0.000000,-0.000041
0.000000,0.800000,0.000000,-0.000042
0.000000,0.833333,0.000000,-0.000040
0.000000,0.866667,0.000000,-0.000032
0.000000,0.900000,0.000000,-0.000015
0.000000,0.933333,0.000000,0.000013
0.000000,0.966667,0.000000,0.000056
0.000000,1.000000,0.000000,0.000119
0.033333,0.000000,0.000000,-0.000109
0.033333,0.033333,0.010926,-0.000051
0.033333,0.066667,0.021733,-0.000007
0.033333,0.100000,0.032301,0.000024
0.033333,0.133333,0.042516,0.000045
0.033333,0.166667,0.052264,0.000057
0.033333,0.200000,0.061440,0.000061
0.033333,0.233333,0.069943,0.000057
0.033333,0.266667,0.077680,0.000049
0.033333,0.300000,0.084565,0.000036
0.033333,0.333333,0.090524,0.000020
0.033333,0.366667,0.095492,0.000002
0.033333,0.400000,0.099413,-0.000017
0.033333,0.433333,0.102244,-0.000037
0.033333,0.466667,0.103956,-0.000057
0.033333,0.500000,0.104528,-0.000077
0.033333,0.533333,0.103956,-0.000095
0.033333,0.566667,0.102244,-0.000113
0.033333,0.600000,0.099413,-0.000129
0.033333,0.633333,0.095492,-0.000144
0.033333,0.666667,0.090524,-0.000157
0.033333,0.700000,0.084565,-0.000168
0.033333,0.733333,0.077680,-0.000177
0.033333,0.766667,0.069943,-0.000181
0.033333,0.800000,0.061440,-0.000181
0.033333,0.833333,0.052264,-0.000173
0.033333,0.866667,0.042516,-0.000156
0.033333,0.900000,0.032301,-0.000128
0.033333,0.933333,0.021733,-0.000083
0.033333,0.966667,0.010926,-0.000019
0.033333,1.000000,0.000000,0.000070
0.066667,0.000000,0.000000,-0.000039
0.066667,0.033333,0.021733,0.000007
0.066667,0.066667,0.043227,0.000039
