gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.136663,0,0.136663,0.000715596
1,0.112993,0,0.112993,0.000371599
2,0.0955282,0,0.0955282,0.000371599
3,0.0779546,0,0.0779546,0.000104979
4,0.0765185,0,0.0765185,0.000104979
5,0.0758181,0,0.0758181,0.000104979
6,0.0752942,0,0.0752942,0.000104979
7,0.0749088,0,0.0749088,0.000104979
8,0.0715516,0,0.0715516,0.000104979
9,0.0699298,0,0.0699298,0.000104979
10,0.0696154,0,0.0696154,0.000104979
11,0.0696122,0,0.0696122,0.000104979
12,0.0696097,0,0.0696097,0.000104979
13,0.0696078,0,0.0696078,0.000104979
14,0.0696063,0,0.0696063,0.000104979
15,0.0696052,0,0.0696052,0.000104979
16,0.0696043,0,0.0696043,0.000104979
17,0.0696037,0,0.0696037,0.000104979
18,0.0696032,0,0.0696032,0.000104979
19,0.0696028,0,0.0696028,0.000104979
20,0.0686265,0,0.0686265,0.000104979
21,0.0686263,0,0.0686263,0.000104979
22,0.0686262,0,0.0686262,0.000104979
23,0.0686261,0,0.0686261,0.000104979
24,0.068626,0,0.068626,0.000104979
25,0.0514066,0,0.0514066,0.000104979
26,0.0513463,0,0.0513463,0.000104979
27,0.0513573,0,0.0513573,0.000104979
28,0.0513314,0,0.0513314,0.000104979
29,0.0514307,0,0.0514307,0.000104979
30,0.0513255,0,0.0513255,0.000104979
31,0.0513391,0,0.0513391,0.000104979
32,0.0513339,0,0.0513339,0.000104979
33,0.0513297,0,0.0513297,0.000104979
34,0.0513282,0,0.0513282,0.000104979
35,0.0513274,0,0.0513274,0.000104979
36,0.0513285,0,0.0513285,0.000104979
37,0.0513277,0,0.0513277,0.000104979
38,0.0513271,0,0.0513271,0.000104979
39,0.0513267,0,0.0513267,0.000104979
40,0.0513254,0,0.0513254,0.000104979
41,0.0513254,0,0.0513254,0.000104979
42,0.0513254,0,0.0513254,0.000104979
43,0.0513254,0,0.0513254,0.000104979
44,0.0513254,0,0.0513254,0.000104979
45,0.0513254,0,0.0513254,0.000104979
46,0.0513263,0,0.0513263,0.000104979
47,0.0513254,0,0.0513254,0.000104979
48,0.0513254,0,0.0513254,0.000104979
49,0.0513254,0,0.0513254,0.000104979
50,0.0399561,0,0.0399561,0.000104979
51,0.0399555,0,0.0399555,0.000104979
52,0.0399553,0,0.0399553,0.000104979
53,0.0399551,0,0.0399551,0.000104979
54,0.0399549,0,0.0399549,0.000104979
55,0.0399548,0,0.0399548,0.000104979
56,0.0399547,0,0.0399547,0.000104979
57,0.0399546,0,0.0399546,0.000104979
58,0.0399545,0,0.0399545,0.000104979
59,0.0399545,0,0.0399545,0.000104979
60,0.0399543,0,0.0399543,0.000104979
61,0.0399543,0,0.0399543,0.000104979
62,0.0399543,0,0.0399543,0.000104979
63,0.0399543,0,0.0399543,0.000104979
