x,u_exact,u_approx
0,1,0.96908
0.01,0.99995,0.970704
0.02,0.9998,0.972128
0.03,0.99955,0.973356
0.04,0.999201,0.974393
0.05,0.998751,0.975245
0.06,0.998203,0.975914
0.07,0.997555,0.976407
0.08,0.996809,0.976727
0.09,0.995964,0.976879
0.1,0.995021,0.976867
0.11,0.99398,0.976696
0.12,0.992843,0.976368
0.13,0.991609,0.975889
0.14,0.990279,0.975262
0.15,0.988855,0.974491
0.16,0.987335,0.973579
0.17,0.985722,0.97253
0.18,0.984016,0.971347
0.19,0.982218,0.970033
0.2,0.980328,0.968592
0.21,0.978348,0.967026
0.22,0.976279,0.965339
0.23,0.974121,0.963532
0.24,0.971875,0.96161
0.25,0.969544,0.959574
0.26,0.967127,0.957426
0.27,0.964625,0.955171
0.28,0.962041,0.952809
0.29,0.959375,0.950343
0.3,0.956628,0.947776
0.31,0.953802,0.945109
0.32,0.950897,0.942344
0.33,0.947916,0.939485
0.34,0.944859,0.936531
0.35,0.941728,0.933487
0.36,0.938524,0.930353
0.37,0.935249,0.927131
0.38,0.931903,0.923822
0.39,0.928489,0.92043
0.4,0.925007,0.916955
0.41,0.92146,0.913399
0.42,0.917849,0.909763
0.43,0.914174,0.906049
0.44,0.910439,0.902259
0.45,0.906643,0.898393
0.46,0.902789,0.894454
0.47,0.898878,0.890443
0.48,0.894912,0.88636
0.49,0.890891,0.882207
0.5,0.886819,0.877986
0.51,0.882696,0.873698
0.52,0.878523,0.869342
0.53,0.874303,0.864922
0.54,0.870036,0.860437
0.55,0.865725,0.855889
0.56,0.86137,0.851278
0.57,0.856974,0.846606
0.58,0.852538,0.841873
0.59,0.848063,0.83708
0.6,0.843551,0.832227
0.61,0.839003,0.827317
0.62,0.834421,0.822348
0.63,0.829806,0.817322
0.64,0.82516,0.812239
0.65,0.820484,0.8071
0.66,0.815779,0.801906
0.67,0.811048,0.796656
0.68,0.806291,0.791352
0.69,0.80151,0.785993
0.7,0.796705,0.780581
0.71,0.79188,0.775115
0.72,0.787034,0.769596
0.73,0.78217,0.764025
0.74,0.777288,0.758401
0.75,0.77239,0.752726
0.76,0.767477,0.746999
0.77,0.76255,0.741221
0.78,0.757611,0.735393
0.79,0.75266,0.729514
0.8,0.7477,0.723586
0.81,0.742731,0.71761
0.82,0.737754,0.711585
0.83,0.73277,0.705512
0.84,0.727782,0.699393
0.85,0.722788,0.693227
0.86,0.717792,0.687017
0.87,0.712793,0.680762
0.88,0.707794,0.674465
0.89,0.702794,0.668126
0.9,0.697795,0.661745
0.91,0.692797,0.655326
0.92,0.687803,0.648869
0.93,0.682812,0.642376
0.94,0.677826,0.635848
0.95,0.672845,0.629288
0.96,0.667871,0.622697
0.97,0.662904,0.616076
0.98,0.657945,0.60943
0.99,0.652995,0.602758
1,0.648054,0.596065
