x,u_exact,u_approx
0,0.5,0.46191
0.01,0.5025,0.465351
0.02,0.505,0.468792
0.03,0.507499,0.472232
0.04,0.509999,0.475671
0.05,0.512497,0.47911
0.06,0.514996,0.482546
0.07,0.517493,0.485981
0.08,0.519989,0.489414
0.09,0.522485,0.492844
0.1,0.524979,0.496271
0.11,0.527472,0.499694
0.12,0.529964,0.503114
0.13,0.532454,0.506529
0.14,0.534943,0.50994
0.15,0.53743,0.513346
0.16,0.539915,0.516747
0.17,0.542398,0.520142
0.18,0.544879,0.523532
0.19,0.547358,0.526915
0.2,0.549834,0.530291
0.21,0.552308,0.53366
0.22,0.554779,0.537022
0.23,0.557248,0.540377
0.24,0.559714,0.543723
0.25,0.562177,0.547061
0.26,0.564636,0.55039
0.27,0.567093,0.55371
0.28,0.569546,0.557021
0.29,0.571996,0.560322
0.3,0.574443,0.563613
0.31,0.576885,0.566894
0.32,0.579324,0.570164
0.33,0.581759,0.573423
0.34,0.584191,0.576671
0.35,0.586618,0.579907
0.36,0.58904,0.583132
0.37,0.591459,0.586344
0.38,0.593873,0.589544
0.39,0.596283,0.592732
0.4,0.598688,0.595906
0.41,0.601088,0.599068
0.42,0.603483,0.602215
0.43,0.605874,0.605349
0.44,0.608259,0.60847
0.45,0.610639,0.611575
0.46,0.613014,0.614667
0.47,0.615384,0.617744
0.48,0.617748,0.620805
0.49,0.620106,0.623852
0.5,0.622459,0.626883
0.51,0.624806,0.629899
0.52,0.627148,0.632899
0.53,0.629483,0.635882
0.54,0.631812,0.63885
0.55,0.634136,0.641801
0.56,0.636453,0.644736
0.57,0.638763,0.647654
0.58,0.641067,0.650555
0.59,0.643365,0.653439
0.6,0.645656,0.656305
0.61,0.647941,0.659154
0.62,0.650219,0.661986
0.63,0.652489,0.6648
0.64,0.654753,0.667596
0.65,0.65701,0.670374
0.66,0.65926,0.673134
0.67,0.661503,0.675875
0.68,0.663739,0.678599
0.69,0.665967,0.681304
0.7,0.668188,0.68399
0.71,0.670401,0.686657
0.72,0.672607,0.689306
0.73,0.674805,0.691936
0.74,0.676996,0.694547
0.75,0.679179,0.697139
0.76,0.681354,0.699712
0.77,0.683521,0.702265
0.78,0.68568,0.7048
0.79,0.687831,0.707315
0.8,0.689974,0.709811
0.81,0.69211,0.712287
0.82,0.694236,0.714744
0.83,0.696355,0.717181
0.84,0.698465,0.719599
0.85,0.700567,0.721997
0.86,0.702661,0.724376
0.87,0.704746,0.726735
0.88,0.706822,0.729075
0.89,0.70889,0.731395
0.9,0.71095,0.733695
0.91,0.713,0.735976
0.92,0.715042,0.738237
0.93,0.717075,0.740478
0.94,0.7191,0.7427
0.95,0.721115,0.744903
0.96,0.723122,0.747085
0.97,0.725119,0.749248
0.98,0.727108,0.751392
0.99,0.729088,0.753516
1,0.731059,0.755621
