x,u_exact,u_approx
0.000000,2.000000,1.998628
0.010000,1.960780,1.962014
0.020000,1.923080,1.928417
0.030000,1.886790,1.896721
0.040000,1.851850,1.866603
0.050000,1.818180,1.837710
0.060000,1.785710,1.809910
0.070000,1.754390,1.783142
0.080000,1.724140,1.757287
0.090000,1.694920,1.732244
0.100000,1.666670,1.707959
0.110000,1.639340,1.684406
0.120000,1.612900,1.661559
0.130000,1.587300,1.639381
0.140000,1.562500,1.617830
0.150000,1.538460,1.596853
0.160000,1.515150,1.576388
0.170000,1.492540,1.556370
0.180000,1.470590,1.536748
0.190000,1.449280,1.517502
0.200000,1.428570,1.498636
0.210000,1.408450,1.480169
0.220000,1.388890,1.462120
0.230000,1.369860,1.444492
0.240000,1.351350,1.427272
0.250000,1.333330,1.410429
0.260000,1.315790,1.393928
0.270000,1.298700,1.377732
0.280000,1.282050,1.361817
0.290000,1.265820,1.346169
0.300000,1.250000,1.330786
0.310000,1.234570,1.315673
0.320000,1.219510,1.300839
0.330000,1.204820,1.286293
0.340000,1.190480,1.272036
0.350000,1.176470,1.258065
0.360000,1.162790,1.244369
0.370000,1.149430,1.230933
0.380000,1.136360,1.217737
0.390000,1.123600,1.204761
0.400000,1.111110,1.191986
0.410000,1.098900,1.179395
0.420000,1.086960,1.166977
0.430000,1.075270,1.154725
0.440000,1.063830,1.142634
0.450000,1.052630,1.130705
0.460000,1.041670,1.118941
0.470000,1.030930,1.107346
0.480000,1.020410,1.095924
0.490000,1.010100,1.084676
0.500000,1.000000,1.073605
0.510000,0.990099,1.062709
0.520000,0.980392,1.051982
0.530000,0.970874,1.041420
0.540000,0.961538,1.031014
0.550000,0.952381,1.020757
0.560000,0.943396,1.010642
0.570000,0.934579,1.000660
0.580000,0.925926,0.990807
0.590000,0.917431,0.981078
0.600000,0.909091,0.971470
0.610000,0.900901,0.961983
0.620000,0.892857,0.952616
0.630000,0.884956,0.943368
0.640000,0.877193,0.934238
0.650000,0.869565,0.925224
0.660000,0.862069,0.916324
0.670000,0.854701,0.907533
0.680000,0.847458,0.898846
0.690000,0.840336,0.890257
0.700000,0.833333,0.881761
0.710000,0.826446,0.873354
0.720000,0.819672,0.865037
0.730000,0.813008,0.856809
0.740000,0.806452,0.848679
0.750000,0.800000,0.840649
0.760000,0.793651,0.832728
0.770000,0.787402,0.824916
0.780000,0.781250,0.817212
0.790000,0.775194,0.809607
0.800000,0.769231,0.802088
0.810000,0.763359,0.794642
0.820000,0.757576,0.787251
0.830000,0.751880,0.779907
0.840000,0.746269,0.772610
0.850000,0.740741,0.765367
0.860000,0.735294,0.758192
0.870000,0.729927,0.751101
0.880000,0.724638,0.744106
0.890000,0.719424,0.737211
0.900000,0.714286,0.730412
0.910000,0.709220,0.723690
0.920000,0.704225,0.717025
0.930000,0.699301,0.710400
0.940000,0.694444,0.703805
0.950000,0.689655,0.697242
0.960000,0.684932,0.690724
0.970000,0.680272,0.684272
0.980000,0.675676,0.677902
0.990000,0.671141,0.671623
1.000000,0.666667,0.665410
