method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Duffing,1,0.0001645781,0.0000000000,12,1
PISR-NSGA-II,Duffing,1,0.0001645781,0.0000000000,12,1
PISR-NSGA-II,Duffing,1,0.0001645781,0.0000000000,12,1
PISR-NSGA-II,Duffing,1,0.0001645781,0.0000000000,12,1
PISR-NSGA-II,Duffing,1,0.0001645781,0.0000000000,12,1
PISR-NSGA-II,Duffing,1,0.0001645781,0.0000000000,12,1
PISR-NSGA-II,Duffing,1,0.0001645781,0.0000000000,12,1
PISR-NSGA-II,Duffing,1,0.0001645781,0.0000000000,12,1
PISR-NSGA-II,Duffing,1,0.0001645780,0.0000000000,14,1
PISR-NSGA-II,Duffing,1,0.0001645780,0.0000000000,14,1
PISR-NSGA-II,Duffing,1,0.0001645780,0.0000000000,14,1
PISR-NSGA-II,Duffing,1,0.0001645780,0.0000000000,14,1
PISR-NSGA-II,Duffing,1,0.0207369586,0.0000000000,4,1
PISR-NSGA-II,Duffing,1,0.0099154040,0.0000000000,5,1
PISR-NSGA-II,Duffing,1,0.0059902457,0.0000000000,9,1
PISR-NSGA-II,Duffing,1,0.0056689202,0.0000000000,11,1
PISR-NSGA-II,Duffing,1,0.0078589968,0.0000000000,7,1
PISR-NSGA-II,Duffing,1,0.1237307143,0.0000000000,3,1
PISR-NSGA-II,Duffing,1,0.0001645780,0.0000000000,14,2
PISR-NSGA-II,Duffing,1,0.0001645782,0.0000000000,12,2
PISR-NSGA-II,Duffing,1,0.0207369586,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,0.1328953947,0.0000000000,3,2
PISR-NSGA-II,Duffing,1,0.0074662237,0.0000000000,11,2
PISR-NSGA-II,Duffing,1,0.0207369586,0.0000000000,4,2
PISR-NSGA-II,Duffing,1,0.0088782451,0.0000000000,7,2
PISR-NSGA-II,Duffing,1,0.0101339324,0.0000000000,5,2
PISR-NSGA-II,Duffing,1,0.0102968924,0.0000000000,9,3
PISR-NSGA-II,Duffing,1,0.0001645782,0.0000000000,12,3
PISR-NSGA-II,Duffing,1,0.0001645782,0.0000000000,12,3
PISR-NSGA-II,Duffing,1,0.0102963229,0.0000000000,11,3
PISR-NSGA-II,Duffing,1,0.0001645780,0.0000000000,14,3
PISR-NSGA-II,Duffing,1,0.0001645780,0.0000000000,14,3
PISR-NSGA-II,Duffing,1,0.0001645780,0.0000000000,14,3
PISR-NSGA-II,Duffing,1,0.0103672645,0.0000000000,5,3
PISR-NSGA-II,Duffing,1,0.1335897359,0.0000000000,3,3
PISR-NSGA-II,Duffing,1,0.0262263021,0.0000000000,4,3
PISR-NSGA-II,Duffing,1,0.1720271107,0.0000000000,3,4
PISR-NSGA-II,Duffing,1,0.0113936254,0.0000000000,7,4
PISR-NSGA-II,Duffing,1,0.0113936254,0.0000000000,7,4
PISR-NSGA-II,Duffing,1,0.0113936254,0.0000000000,7,4
PISR-NSGA-II,Duffing,1,0.0113936254,0.0000000000,7,4
PISR-NSGA-II,Duffing,1,0.0102969956,0.0000000000,9,4
PISR-NSGA-II,Duffing,1,0.0001645782,0.0000000000,12,4
PISR-NSGA-II,Duffing,1,0.0102969956,0.0000000000,9,4
PISR-NSGA-II,Duffing,1,0.0001645782,0.0000000000,12,4
PISR-NSGA-II,Duffing,1,0.0001645780,0.0000000000,14,4
PISR-NSGA-II,Duffing,1,0.0102963232,0.0000000000,11,4
PISR-NSGA-II,Duffing,1,0.0290831631,0.0000000000,4,4
PISR-NSGA-II,Duffing,1,0.0153595984,0.0000000000,5,4
