x,u_exact,u_approx
0.000000,1.000000,1.000000
0.010000,0.995012,0.994787
0.020000,0.990050,0.989576
0.030000,0.985112,0.984366
0.040000,0.980199,0.979159
0.050000,0.975310,0.973956
0.060000,0.970446,0.968758
0.070000,0.965605,0.963566
0.080000,0.960789,0.958381
0.090000,0.955997,0.953203
0.100000,0.951229,0.948034
0.110000,0.946485,0.942874
0.120000,0.941765,0.937725
0.130000,0.937067,0.932587
0.140000,0.932394,0.927461
0.150000,0.927743,0.922348
0.160000,0.923116,0.917249
0.170000,0.918512,0.912165
0.180000,0.913931,0.907096
0.190000,0.909373,0.902043
0.200000,0.904837,0.897008
0.210000,0.900325,0.891990
0.220000,0.895834,0.886991
0.230000,0.891366,0.882012
0.240000,0.886920,0.877053
0.250000,0.882497,0.872115
0.260000,0.878095,0.867199
0.270000,0.873716,0.862305
0.280000,0.869358,0.857435
0.290000,0.865022,0.852589
0.300000,0.860708,0.847767
0.310000,0.856415,0.842971
0.320000,0.852144,0.838201
0.330000,0.847894,0.833457
0.340000,0.843665,0.828742
0.350000,0.839457,0.824054
0.360000,0.835270,0.819396
0.370000,0.831104,0.814767
0.380000,0.826959,0.810167
0.390000,0.822835,0.805599
0.400000,0.818731,0.801062
0.410000,0.814647,0.796558
0.420000,0.810584,0.792086
0.430000,0.806541,0.787647
0.440000,0.802519,0.783242
0.450000,0.798516,0.778871
0.460000,0.794534,0.774536
0.470000,0.790571,0.770236
0.480000,0.786628,0.765972
0.490000,0.782705,0.761745
0.500000,0.778801,0.757556
0.510000,0.774916,0.753404
0.520000,0.771052,0.749291
0.530000,0.767206,0.745216
0.540000,0.763379,0.741181
0.550000,0.759572,0.737187
0.560000,0.755784,0.733232
0.570000,0.752014,0.729319
0.580000,0.748264,0.725448
0.590000,0.744532,0.721618
0.600000,0.740818,0.717831
0.610000,0.737123,0.714087
0.620000,0.733447,0.710387
0.630000,0.729789,0.706731
0.640000,0.726149,0.703119
0.650000,0.722527,0.699552
0.660000,0.718924,0.696031
0.670000,0.715338,0.692555
0.680000,0.711770,0.689127
0.690000,0.708220,0.685745
0.700000,0.704688,0.682410
0.710000,0.701173,0.679123
0.720000,0.697676,0.675884
0.730000,0.694197,0.672694
0.740000,0.690734,0.669553
0.750000,0.687289,0.666461
0.760000,0.683861,0.663420
0.770000,0.680451,0.660429
0.780000,0.677057,0.657489
0.790000,0.673680,0.654600
0.800000,0.670320,0.651762
0.810000,0.666977,0.648977
0.820000,0.663650,0.646245
0.830000,0.660340,0.643565
0.840000,0.657047,0.640939
0.850000,0.653770,0.638367
0.860000,0.650509,0.635849
0.870000,0.647265,0.633385
0.880000,0.644036,0.630977
0.890000,0.640824,0.628624
0.900000,0.637628,0.626328
0.910000,0.634448,0.624087
0.920000,0.631284,0.621904
0.930000,0.628135,0.619777
0.940000,0.625002,0.617708
0.950000,0.621885,0.615698
0.960000,0.618783,0.613746
0.970000,0.615697,0.611853
0.980000,0.612626,0.610019
0.990000,0.609571,0.608245
1.000000,0.606531,0.606531
