x,y,u_exact,u_approx
0.000000,0.000000,2.000000,1.996269
0.000000,0.033333,1.875000,1.874816
0.000000,0.066667,1.764710,1.766490
0.000000,0.100000,1.666670,1.668458
0.000000,0.133333,1.578950,1.579792
0.000000,0.166667,1.500000,1.499751
0.000000,0.200000,1.428570,1.427557
0.000000,0.233333,1.363640,1.362327
0.000000,0.266667,1.304350,1.303169
0.000000,0.300000,1.250000,1.249253
0.000000,0.333333,1.200000,1.199819
0.000000,0.366667,1.153850,1.154207
0.000000,0.400000,1.111110,1.111873
0.000000,0.433333,1.071430,1.072386
0.000000,0.466667,1.034480,1.035421
0.000000,0.500000,1.000000,1.000738
0.000000,0.533333,0.967742,0.968159
0.000000,0.566667,0.937500,0.937545
0.000000,0.600000,0.909091,0.908784
0.000000,0.633333,0.882353,0.881774
0.000000,0.666667,0.857143,0.856413
0.000000,0.700000,0.833333,0.832597
0.000000,0.733333,0.810811,0.810211
0.000000,0.766667,0.789474,0.789130
0.000000,0.800000,0.769231,0.769221
0.000000,0.833333,0.750000,0.750338
0.000000,0.866667,0.731707,0.732332
0.000000,0.900000,0.714286,0.715046
0.000000,0.933333,0.697674,0.698321
0.000000,0.966667,0.681818,0.681986
0.000000,1.000000,0.666667,0.665859
0.033333,0.000000,1.875000,1.873864
0.033333,0.033333,1.764710,1.777904
0.033333,0.066667,1.666670,1.687445
0.033333,0.100000,1.578950,1.603109
0.033333,0.133333,1.500000,1.525085
0.033333,0.166667,1.428570,1.453301
0.033333,0.200000,1.363640,1.387459
0.033333,0.233333,1.304350,1.327105
0.033333,0.266667,1.250000,1.271720
0.033333,0.300000,1.200000,1.220767
0.033333,0.333333,1.153850,1.173716
0.033333,0.366667,1.111110,1.130082
0.033333,0.400000,1.071430,1.089449
0.033333,0.433333,1.034480,1.051467
0.033333,0.466667,1.000000,1.015858
0.033333,0.500000,0.967742,0.982404
0.033333,0.533333,0.937500,0.950930
0.033333,0.566667,0.909091,0.921293
0.033333,0.600000,0.882353,0.893377
0.033333,0.633333,0.857143,0.867075
0.033333,0.666667,0.833333,0.842283
0.033333,0.700000,0.810811,0.818901
0.033333,0.733333,0.789474,0.796821
0.033333,0.766667,0.769231,0.775927
0.033333,0.800000,0.750000,0.756096
0.033333,0.833333,0.731707,0.737195
0.033333,0.866667,0.714286,0.719084
0.033333,0.900000,0.697674,0.701624
0.033333,0.933333,0.681818,0.684668
0.033333,0.966667,0.666667,0.668066
0.033333,1.000000,0.652174,0.651662
0.066667,0.000000,1.764710,1.765631
0.066667,0.033333,1.666670,1.687194
0.066667,0.066667,1.578950,1.611009
0.066667,0.100000,1.500000,1.538318
0.066667,0.133333,1.428570,1.469761
0.066667,0.166667,1.363640,1.405608
0.066667,0.200000,1.304350,1.345872
0.066667,0.233333,1.250000,1.290397
0.066667,0.266667,1.200000,1.238919
0.066667,0.300000,1.153850,1.191119
0.066667,0.333333,1.111110,1.146650
0.066667,0.366667,1.071430,1.105171
0.066667,0.400000,1.034480,1.066378
0.066667,0.433333,1.000000,1.030000
0.066667,0.466667,0.967742,0.995810
0.066667,0.500000,0.937500,0.963618
0.066667,0.533333,0.909091,0.933266
0.066667,0.566667,0.882353,0.904618
0.066667,0.600000,0.857143,0.877560
0.066667,0.633333,0.833333,0.851985
0.066667,0.666667,0.810811,0.827794
0.066667,0.700000,0.789474,0.804891
0.066667,0.733333,0.769231,0.783173
0.066667,0.766667,0.750000,0.762533
0.066667,0.800000,0.731707,0.742857
0.066667,0.833333,0.714286,0.724025
0.066667,0.866667,0.697674,0.705910
0.066667,0.900000,0.681818,0.688382
0.066667,0.933333,0.666667,0.671313
0.066667,0.966667,0.652174,0.654568
0.066667,1.000000,0.638298,0.638015
0.100000,0.000000,1.666670,1.668101
0.100000,0.033333,1.578950,1.602984
0.100000,0.066667,1.500000,1.538311
0.100000,0.100000,1.428570,1.475418
0.100000,0.133333,1.363640,1.415106
0.100000,0.166667,1.304350,1.357820
0.100000,0.200000,1.250000,1.303766
0.100000,0.233333,1.200000,1.252973
0.100000,0.266667,1.153850,1.205353
0.100000,0.300000,1.111110,1.160741
0.100000,0.333333,1.071430,1.118928
0.100000,0.366667,1.034480,1.079692
0.100000,0.400000,1.000000,1.042817
0.100000,0.433333,0.967742,1.008105
0.100000,0.466667,0.937500,0.975375
0.100000,0.500000,0.909091,0.944473
0.100000,0.533333,0.882353,0.915261
0.100000,0.566667,0.857143,0.887615
0.100000,0.600000,0.833333,0.861429
0.100000,0.633333,0.810811,0.836604
0.100000,0.666667,0.789474,0.813044
0.100000,0.700000,0.769231,0.790658
0.100000,0.733333,0.750000,0.769350
0.100000,0.766667,0.731707,0.749020
0.100000,0.800000,0.714286,0.729567
0.100000,0.833333,0.697674,0.710881
0.100000,0.866667,0.681818,0.692845
0.100000,0.900000,0.666667,0.675346
0.100000,0.933333,0.652174,0.658264
0.100000,0.966667,0.638298,0.641483
0.100000,1.000000,0.625000,0.624886
0.133333,0.000000,1.578950,1.580056
0.133333,0.033333,1.500000,1.525246
0.133333,0.066667,1.428570,1.469867
0.133333,0.100000,1.363640,1.415156
0.133333,0.133333,1.304350,1.361941
0.133333,0.166667,1.250000,1.310742
0.133333,0.200000,1.200000,1.261865
0.133333,0.233333,1.153850,1.215448
0.133333,0.266667,1.111110,1.171518
0.133333,0.300000,1.071430,1.130021
0.133333,0.333333,1.034480,1.090850
0.133333,0.366667,1.000000,1.053869
0.133333,0.400000,0.967742,1.018940
0.133333,0.433333,0.937500,0.985919
0.133333,0.466667,0.909091,0.954671
0.133333,0.500000,0.882353,0.925073
0.133333,0.533333,0.857143,0.897011
0.133333,0.566667,0.833333,0.870377
0.133333,0.600000,0.810811,0.845078
0.133333,0.633333,0.789474,0.821020
0.133333,0.666667,0.769231,0.798115
0.133333,0.700000,0.750000,0.776278
