gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,0.0797054,0,0.0797054,0.0105064
1,0.0313563,0,0.0313563,0.000470029
2,0.0313563,0,0.0313563,0.000470029
3,0.0313563,0,0.0313563,0.000470029
4,0.0313563,0,0.0313563,0.000470029
5,0.0313563,0,0.0313563,0.000470029
6,0.0313563,0,0.0313563,0.000470029
7,0.0313563,0,0.0313563,0.000470029
8,0.0313563,0,0.0313563,0.000470029
9,0.0313563,0,0.0313563,0.000470029
10,0.0313563,0,0.0313563,0.000470029
11,0.0313563,0,0.0313563,0.000470029
12,0.0313563,0,0.0313563,0.000470029
13,0.0313563,0,0.0313563,0.000470029
14,0.0313563,0,0.0313563,0.000470029
15,0.0313563,0,0.0313563,0.000470029
16,0.0313563,0,0.0313563,0.000470029
17,0.0313563,0,0.0313563,0.000470029
18,0.0313563,0,0.0313563,0.000470029
19,0.0313563,0,0.0313563,0.000470029
20,0.0313563,0,0.0313563,0.000470029
21,0.0313563,0,0.0313563,0.000470029
22,0.0313563,0,0.0313563,0.000470029
23,0.0313563,0,0.0313563,0.000470029
24,0.0313563,0,0.0313563,0.000470029
25,0.0359065,0,0.0359065,0.000470029
26,0.0359065,0,0.0359065,0.000386806
27,0.0359065,0,0.0359065,0.000386806
28,0.0359065,0,0.0359065,0.000386806
29,0.0359065,0,0.0359065,0.000386806
30,0.0359065,0,0.0359065,0.000386806
31,0.0359065,0,0.0359065,0.000386806
32,0.0359065,0,0.0359065,0.000386806
33,0.0359065,0,0.0359065,0.000386806
34,0.0359065,0,0.0359065,0.000386806
35,0.0359065,0,0.0359065,0.000386806
36,0.0359065,0,0.0359065,0.000386806
37,0.0359065,0,0.0359065,0.000386806
38,0.0359065,0,0.0359065,0.000386806
39,0.0359065,0,0.0359065,0.000386806
40,0.0359065,0,0.0359065,0.000386806
41,0.0359065,0,0.0359065,0.000386806
42,0.0359065,0,0.0359065,0.000386806
43,0.0359065,0,0.0359065,0.000386806
44,0.0359065,0,0.0359065,0.000386806
45,0.0359065,0,0.0359065,0.000386806
46,0.0359065,0,0.0359065,0.000386806
47,0.0359065,0,0.0359065,0.000386806
48,0.0359065,0,0.0359065,0.000386806
49,0.0359065,0,0.0359065,0.000386806
50,0.0348248,0,0.0348248,0.000386806
51,0.0348248,0,0.0348248,0.000303626
52,0.0348248,0,0.0348248,0.000303623
53,0.0348248,0,0.0348248,0.000303623
54,0.0348248,0,0.0348248,0.000303623
55,0.0348248,0,0.0348248,0.000303623
56,0.0348248,0,0.0348248,0.000303623
57,0.0348248,0,0.0348248,0.000303623
58,0.0348248,0,0.0348248,0.000303623
59,0.0348248,0,0.0348248,0.000303623
60,0.0348248,0,0.0348248,0.000303623
61,0.0348248,0,0.0348248,0.000303623
62,0.0348248,0,0.0348248,0.000303623
63,0.0348248,0,0.0348248,0.000303623
64,0.0348248,0,0.0348248,0.000303623
65,0.0348248,0,0.0348248,0.000303623
66,0.0348248,0,0.0348248,0.000303623
67,0.0348248,0,0.0348248,0.000303623
68,0.0348248,0,0.0348248,0.000303623
69,0.0348248,0,0.0348248,0.000303623
70,0.0348248,0,0.0348248,0.000303623
71,0.0348248,0,0.0348248,0.000303623
72,0.0348248,0,0.0348248,0.000303623
73,0.0348248,0,0.0348248,0.000303623
74,0.0348248,0,0.0348248,0.000303623
75,0.0308447,0,0.0308447,0.000303623
76,0.0308447,0,0.0308447,0.000235507
77,0.0308447,0,0.0308447,0.000235422
78,0.0308447,0,0.0308447,0.000235422
79,0.0308447,0,0.0308447,0.000235422
80,0.0308447,0,0.0308447,0.000235422
81,0.0308447,0,0.0308447,0.000235422
82,0.0308447,0,0.0308447,0.000235422
83,0.0308447,0,0.0308447,0.000235422
84,0.0308447,0,0.0308447,0.000235422
85,0.0308447,0,0.0308447,0.000235422
86,0.0308447,0,0.0308447,0.000235422
87,0.0308447,0,0.0308447,0.000235422
88,0.0308447,0,0.0308447,0.000235422
89,0.0308447,0,0.0308447,0.000235422
90,0.0308447,0,0.0308447,0.000235422
91,0.0308447,0,0.0308447,0.000235422
92,0.0308447,0,0.0308447,0.000235422
93,0.0308447,0,0.0308447,0.000235422
94,0.0308447,0,0.0308447,0.000235422
95,0.0308447,0,0.0308447,0.000235422
96,0.0308447,0,0.0308447,0.000235422
97,0.0308447,0,0.0308447,0.000235422
98,0.0308447,0,0.0308447,0.000235422
99,0.0308447,0,0.0308447,0.000235422
100,0.0270788,0,0.0270788,0.000235422
101,0.0270788,0,0.0270788,0.000204246
102,0.0270788,0,0.0270788,0.000204246
103,0.0270788,0,0.0270788,0.000204246
104,0.0270788,0,0.0270788,0.00020421
105,0.0270788,0,0.0270788,0.00020421
106,0.0270788,0,0.0270788,0.00020416
107,0.0270788,0,0.0270788,0.00020416
108,0.0270788,0,0.0270788,0.00020416
109,0.0270788,0,0.0270788,0.00020416
110,0.0270788,0,0.0270788,0.00020416
111,0.0270788,0,0.0270788,0.00020416
112,0.0270788,0,0.0270788,0.00020416
113,0.0270788,0,0.0270788,0.000204156
114,0.0270788,0,0.0270788,0.000204156
115,0.0270788,0,0.0270788,0.000204156
116,0.0270788,0,0.0270788,0.000204156
117,0.0270788,0,0.0270788,0.000204132
118,0.0270788,0,0.0270788,0.000204132
119,0.0270788,0,0.0270788,0.000204132
120,0.0270788,0,0.0270788,0.000204132
121,0.0270788,0,0.0270788,0.000204132
122,0.0270788,0,0.0270788,0.000204132
123,0.0270788,0,0.0270788,0.000204132
124,0.0270788,0,0.0270788,0.000204132
125,0.0188844,0,0.0188844,0.000204132
126,0.0188844,0,0.0188844,0.00017608
127,0.0188844,0,0.0188844,0.000176064
128,0.0188844,0,0.0188844,0.000176064
129,0.0188844,0,0.0188844,0.00017606
130,0.0188844,0,0.0188844,0.00017606
131,0.0188844,0,0.0188844,0.00017606
132,0.0188844,0,0.0188844,0.00017606
133,0.0188844,0,0.0188844,0.00017606
134,0.0188844,0,0.0188844,0.00017606
135,0.0188844,0,0.0188844,0.00017606
136,0.0188844,0,0.0188844,0.00017606
137,0.0188844,0,0.0188844,0.00017606
138,0.0188844,0,0.0188844,0.00017606
139,0.0188844,0,0.0188844,0.00017606
140,0.0188844,0,0.0188844,0.00017606
141,0.0188844,0,0.0188844,0.00017606
142,0.0188844,0,0.0188844,0.00017606
143,0.0188844,0,0.0188844,0.00017606
144,0.0188844,0,0.0188844,0.00017606
145,0.0188844,0,0.0188844,0.00017606
146,0.0188844,0,0.0188844,0.00017606
147,0.0188844,0,0.0188844,0.00017606
148,0.0188844,0,0.0188844,0.00017606
149,0.0188844,0,0.0188844,0.00017606
150,0.0159036,0,0.0159036,0.00017606
151,0.0159036,0,0.0159036,0.000171722
152,0.0159036,0,0.0159036,0.000171722
153,0.0159036,0,0.0159036,0.000171721
154,0.0159036,0,0.0159036,0.000171721
155,0.0159036,0,0.0159036,0.000171721
156,0.0159036,0,0.0159036,0.000171721
157,0.0159036,0,0.0159036,0.000171721
158,0.0159036,0,0.0159036,0.000171701
159,0.0159036,0,0.0159036,0.000171701
160,0.0159036,0,0.0159036,0.000171701
161,0.0159036,0,0.0159036,0.000171701
162,0.0159036,0,0.0159036,0.000171701
163,0.0159036,0,0.0159036,0.000171701
164,0.0159036,0,0.0159036,0.000171701
165,0.0159036,0,0.0159036,0.000171701
166,0.0159036,0,0.0159036,0.000171701
167,0.0159036,0,0.0159036,0.000171701
168,0.0159036,0,0.0159036,0.000171701
169,0.0159036,0,0.0159036,0.000171701
170,0.0159036,0,0.0159036,0.000171701
171,0.0159036,0,0.0159036,0.000171701
172,0.0159036,0,0.0159036,0.000171701
173,0.0159036,0,0.0159036,0.000171701
174,0.0159036,0,0.0159036,0.000171701
175,0.0119731,0,0.0119731,0.0001717
176,0.0119731,0,0.0119731,0.0001717
177,0.0119731,0,0.0119731,0.0001717
178,0.0119731,0,0.0119731,0.0001717
179,0.0119731,0,0.0119731,0.0001717
180,0.0119731,0,0.0119731,0.0001717
181,0.0119731,0,0.0119731,0.0001717
182,0.0119731,0,0.0119731,0.0001717
183,0.0119731,0,0.0119731,0.0001717
184,0.0119731,0,0.0119731,0.0001717
185,0.0119731,0,0.0119731,0.0001717
186,0.0119731,0,0.0119731,0.0001717
187,0.0119731,0,0.0119731,0.0001717
188,0.0119731,0,0.0119731,0.0001717
189,0.0119731,0,0.0119731,0.0001717
190,0.0119731,0,0.0119731,0.0001717
191,0.0119731,0,0.0119731,0.0001717
192,0.0119731,0,0.0119731,0.0001717
193,0.0119731,0,0.0119731,0.0001717
194,0.0119731,0,0.0119731,0.0001717
195,0.0119731,0,0.0119731,0.0001717
196,0.0119731,0,0.0119731,0.0001717
197,0.0119731,0,0.0119731,0.0001717
198,0.0119731,0,0.0119731,0.0001717
199,0.0119731,0,0.0119731,0.0001717
