method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Ginzburg-Landau,1,-1,9.7087646553,0.0000000000,3,2
PISR-NSGA-II,Ginzburg-Landau,1,-1,1.5098521699,0.0000000000,7,1
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,24.8502168667,0.0000000000,3,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,11.6016350874,0.0000000000,6,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,36.1660525194,0.0000000000,4,5
PISR-NSGA-II,Ginzburg-Landau,1,-1,11.6016350874,0.0000000000,6,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,8.3655476054,0.0000000000,9,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,2.6658818594,0.0000000000,4,1
PISR-NSGA-II,Ginzburg-Landau,1,-1,24.8502168667,0.0000000000,3,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,3.5987067023,0.0000000000,7,3
PISR-NSGA-II,Ginzburg-Landau,1,-1,11.6016350874,0.0000000000,6,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,24.8502168667,0.0000000000,3,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,1.5098521699,0.0000000000,7,1
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,1.5098521699,0.0000000000,7,1
PISR-NSGA-II,Ginzburg-Landau,1,-1,8.3655476054,0.0000000000,9,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,24.8502168667,0.0000000000,3,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,9.7087646553,0.0000000000,3,2
PISR-NSGA-II,Ginzburg-Landau,1,-1,9.7087646553,0.0000000000,3,2
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,8.3655476054,0.0000000000,9,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,3.5987067023,0.0000000000,7,3
PISR-NSGA-II,Ginzburg-Landau,1,-1,3.5987067023,0.0000000000,7,3
PISR-NSGA-II,Ginzburg-Landau,1,-1,8.3655476054,0.0000000000,9,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,24.8502168667,0.0000000000,3,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,1.5098521699,0.0000000000,7,1
PISR-NSGA-II,Ginzburg-Landau,1,-1,3.2789815864,0.0000000000,8,3
PISR-NSGA-II,Ginzburg-Landau,1,-1,1.5098521699,0.0000000000,7,1
PISR-NSGA-II,Ginzburg-Landau,1,-1,8.3655476054,0.0000000000,9,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,1.5098521699,0.0000000000,7,1
PISR-NSGA-II,Ginzburg-Landau,1,-1,8.3655476054,0.0000000000,9,4
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,1.5098521699,0.0000000000,7,1
PISR-NSGA-II,Ginzburg-Landau,1,-1,3.2789815864,0.0000000000,8,3
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
PISR-NSGA-II,Ginzburg-Landau,1,-1,447.2012287526,0.0000000000,5,7
