method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,HarmonicOscillator,1,-1,8.8425320162,0.0000000000,3,1
PISR-NSGA-II,HarmonicOscillator,1,-1,1.0367986779,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,22.0314620289,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,11.4267498088,0.0000000000,6,4
PISR-NSGA-II,HarmonicOscillator,1,-1,34.0309470990,0.0000000000,4,4
PISR-NSGA-II,HarmonicOscillator,1,-1,11.4267498088,0.0000000000,6,4
PISR-NSGA-II,HarmonicOscillator,1,-1,7.3183452376,0.0000000000,9,5
PISR-NSGA-II,HarmonicOscillator,1,-1,2.3661368639,0.0000000000,4,2
PISR-NSGA-II,HarmonicOscillator,1,-1,22.0314620289,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,6.0156645306,0.0000000000,7,4
PISR-NSGA-II,HarmonicOscillator,1,-1,11.4267498088,0.0000000000,6,4
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,22.0314620289,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,-1,1.0367986779,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,1.0367986779,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,-1,7.3183452376,0.0000000000,9,5
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,22.0314620289,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,8.8425320162,0.0000000000,3,1
PISR-NSGA-II,HarmonicOscillator,1,-1,8.8425320162,0.0000000000,3,1
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,7.3183452376,0.0000000000,9,5
PISR-NSGA-II,HarmonicOscillator,1,-1,6.0156645306,0.0000000000,7,4
PISR-NSGA-II,HarmonicOscillator,1,-1,6.0156645306,0.0000000000,7,4
PISR-NSGA-II,HarmonicOscillator,1,-1,7.3183452376,0.0000000000,9,5
PISR-NSGA-II,HarmonicOscillator,1,-1,22.0314620289,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,-1,1.0367986779,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,-1,5.5092423915,0.0000000000,8,4
PISR-NSGA-II,HarmonicOscillator,1,-1,1.0367986779,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,-1,7.3183452376,0.0000000000,9,5
PISR-NSGA-II,HarmonicOscillator,1,-1,1.0367986779,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,-1,7.3183452376,0.0000000000,9,5
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,1.0367986779,0.0000000000,7,1
PISR-NSGA-II,HarmonicOscillator,1,-1,5.5092423915,0.0000000000,8,4
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,34.0309470990,0.0000000000,4,4
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,11.4267498088,0.0000000000,6,4
PISR-NSGA-II,HarmonicOscillator,1,-1,6.0156645306,0.0000000000,7,4
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,22.0314620289,0.0000000000,3,3
PISR-NSGA-II,HarmonicOscillator,1,-1,7.3183452376,0.0000000000,9,5
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,8.8425320162,0.0000000000,3,1
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
PISR-NSGA-II,HarmonicOscillator,1,-1,439.1760703538,0.0000000000,5,11
