method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Painleve-I,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Painleve-I,1,-1,17.5226343310,0.0000000000,3,4
PISR-NSGA-II,Painleve-I,1,-1,10.2845669996,0.0000000000,9,5
PISR-NSGA-II,Painleve-I,1,-1,0.6326755474,0.0000000000,4,1
PISR-NSGA-II,Painleve-I,1,-1,1.1737052241,0.0000000000,7,2
PISR-NSGA-II,Painleve-I,1,-1,4.4179541534,0.0000000000,7,4
PISR-NSGA-II,Painleve-I,1,-1,0.6326755474,0.0000000000,4,1
PISR-NSGA-II,Painleve-I,1,-1,4.4179541534,0.0000000000,7,4
PISR-NSGA-II,Painleve-I,1,-1,5.1548598315,0.0000000000,3,2
PISR-NSGA-II,Painleve-I,1,-1,13.6055319612,0.0000000000,6,4
PISR-NSGA-II,Painleve-I,1,-1,0.6326755474,0.0000000000,4,1
PISR-NSGA-II,Painleve-I,1,-1,1.1737052241,0.0000000000,7,2
PISR-NSGA-II,Painleve-I,1,-1,10.2845669996,0.0000000000,9,5
PISR-NSGA-II,Painleve-I,1,-1,4.4179541534,0.0000000000,7,4
PISR-NSGA-II,Painleve-I,1,-1,4.4179541534,0.0000000000,7,4
PISR-NSGA-II,Painleve-I,1,-1,26.8228088282,0.0000000000,4,5
PISR-NSGA-II,Painleve-I,1,-1,0.6326755474,0.0000000000,4,1
PISR-NSGA-II,Painleve-I,1,-1,17.5226343310,0.0000000000,3,4
PISR-NSGA-II,Painleve-I,1,-1,17.5226343310,0.0000000000,3,4
PISR-NSGA-II,Painleve-I,1,-1,10.2845669996,0.0000000000,9,5
PISR-NSGA-II,Painleve-I,1,-1,17.5226343310,0.0000000000,3,4
PISR-NSGA-II,Painleve-I,1,-1,5.1548598315,0.0000000000,3,2
PISR-NSGA-II,Painleve-I,1,-1,1.1737052241,0.0000000000,7,2
PISR-NSGA-II,Painleve-I,1,-1,1.1737052241,0.0000000000,7,2
PISR-NSGA-II,Painleve-I,1,-1,26.8228088282,0.0000000000,4,5
PISR-NSGA-II,Painleve-I,1,-1,0.6326755474,0.0000000000,4,1
PISR-NSGA-II,Painleve-I,1,-1,26.8228088282,0.0000000000,4,5
PISR-NSGA-II,Painleve-I,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
