gen,best_mse_domain,best_mse_boundary,best_total_mse,best_val_mse
0,65.0315,0,65.0315,0.00161853
1,62.2149,0,62.2149,0.00161853
2,61.8446,0,61.8446,0.00161853
3,61.5587,0,61.5587,0.00161853
4,61.2784,0,61.2784,0.00161853
5,55.0145,0,55.0145,0.00161853
6,54.2804,0,54.2804,0.00161853
7,53.528,0,53.528,0.00161853
8,52.9633,0,52.9633,0.00161853
9,63.1043,0,63.1043,0.00161853
10,57.8808,0,57.8808,0.00161853
11,57.8808,0,57.8808,0.00161853
12,57.8808,0,57.8808,0.00161853
13,57.8808,0,57.8808,0.00161853
14,34.3654,0,34.3654,0.00161853
15,34.3654,0,34.3654,0.00161853
16,34.3654,0,34.3654,0.00161853
17,1.10657,0,1.10657,0.00161853
18,1.10657,0,1.10657,0.00161853
19,1.10657,0,1.10657,0.00161853
20,1.10657,0,1.10657,0.00161853
21,1.10657,0,1.10657,0.00161853
22,1.10657,0,1.10657,0.00161853
23,1.10657,0,1.10657,0.00161853
24,0.923977,0,0.923977,0.00161853
25,0.944441,0,0.944441,0.00161853
26,0.944441,0,0.944441,0.00161853
27,0.16758,0,0.16758,0.00161853
28,0.16758,0,0.16758,0.00161853
29,0.16758,0,0.16758,0.00161853
30,0.16758,0,0.16758,0.00161853
31,0.16758,0,0.16758,0.00161853
32,0.159658,0,0.159658,0.00161853
33,0.0903325,0,0.0903325,0.00161853
34,0.0903325,0,0.0903325,0.00161853
35,0.0903325,0,0.0903325,0.00161853
36,0.0903325,0,0.0903325,0.00161853
37,0.0903325,0,0.0903325,0.00161853
38,0.0903325,0,0.0903325,0.00161853
39,0.0903325,0,0.0903325,0.00161853
40,0.0909212,0,0.0909212,0.00161853
41,0.0909212,0,0.0909212,0.00161853
42,0.0909212,0,0.0909212,0.00161853
43,0.0909212,0,0.0909212,0.00161853
44,0.0909212,0,0.0909212,0.00161853
45,0.0909212,0,0.0909212,0.00161853
46,0.0909212,0,0.0909212,0.00161853
47,0.0909212,0,0.0909212,0.00161853
48,0.0917228,0,0.0917228,0.00161853
49,0.0917228,0,0.0917228,0.00161853
50,0.0972982,0,0.0972982,0.00161853
51,0.0972982,0,0.0972982,0.00161853
52,0.0972982,0,0.0972982,0.00161853
53,0.0972982,0,0.0972982,0.00161853
54,0.0972982,0,0.0972982,0.00161853
55,0.0972982,0,0.0972982,0.00161853
56,0.0973221,0,0.0973221,0.00161853
57,0.0973221,0,0.0973221,0.00161853
58,0.0973221,0,0.0973221,0.00161853
59,0.0973221,0,0.0973221,0.00161853
60,0.0973221,0,0.0973221,0.00161853
61,0.0973221,0,0.0973221,0.00161853
62,0.0973221,0,0.0973221,0.00161853
63,0.0973221,0,0.0973221,0.00161853
64,0.0977789,0,0.0977789,0.00161853
65,0.0977789,0,0.0977789,0.00161853
66,0.0977789,0,0.0977789,0.00161853
67,0.0977789,0,0.0977789,0.00161853
68,0.0977789,0,0.0977789,0.00161853
69,0.0977789,0,0.0977789,0.00161853
70,0.0977789,0,0.0977789,0.00161853
71,0.0977789,0,0.0977789,0.00161853
72,0.0976149,0,0.0976149,0.00161853
73,0.0976149,0,0.0976149,0.00161853
74,0.0976149,0,0.0976149,0.00161853
75,0.0992043,0,0.0992043,0.00161853
76,0.0992043,0,0.0992043,0.00161853
77,0.0992043,0,0.0992043,0.00161853
78,0.0992043,0,0.0992043,0.00161853
79,0.0992043,0,0.0992043,0.00161853
80,0.100184,0,0.100184,0.00161853
81,0.100184,0,0.100184,0.00161853
82,0.100184,0,0.100184,0.00161853
83,0.100184,0,0.100184,0.00161853
84,0.100184,0,0.100184,0.00161853
85,0.100184,0,0.100184,0.00161853
86,0.100184,0,0.100184,0.00161853
87,0.100184,0,0.100184,0.00161853
88,0.100027,0,0.100027,0.00161853
89,0.100027,0,0.100027,0.00161853
90,0.100027,0,0.100027,0.00161853
91,0.100027,0,0.100027,0.00161853
92,0.100027,0,0.100027,0.00161853
93,0.100027,0,0.100027,0.00161853
94,0.100027,0,0.100027,0.00161853
95,0.100027,0,0.100027,0.00161853
96,0.100777,0,0.100777,0.00161853
97,0.100777,0,0.100777,0.00161853
98,0.100777,0,0.100777,0.00161853
99,0.100777,0,0.100777,0.00161853
100,0.102319,0,0.102319,0.00161853
101,0.102319,0,0.102319,0.00161853
102,0.102319,0,0.102319,0.00161853
103,0.102319,0,0.102319,0.00161853
104,0.10263,0,0.10263,0.00161853
105,0.10263,0,0.10263,0.00161853
106,0.10263,0,0.10263,0.00161853
107,0.10263,0,0.10263,0.00161853
108,0.10263,0,0.10263,0.00161853
109,0.10263,0,0.10263,0.00161853
110,0.10263,0,0.10263,0.00161853
111,0.10263,0,0.10263,0.00161853
112,0.102788,0,0.102788,0.00161853
113,0.102788,0,0.102788,0.00161853
114,0.102788,0,0.102788,0.00161853
115,0.102788,0,0.102788,0.00161853
116,0.102788,0,0.102788,0.00161853
117,0.102788,0,0.102788,0.00161853
118,0.102788,0,0.102788,0.00161853
119,0.0227324,0,0.0227324,0.00161853
120,0.0227324,0,0.0227324,0.00161853
121,0.0227324,0,0.0227324,0.00161853
122,0.0227324,0,0.0227324,0.00161853
123,0.0227324,0,0.0227324,0.00161853
124,0.0227324,0,0.0227324,0.00161853
125,0.0145741,0,0.0145741,0.00161853
126,0.0145741,0,0.0145741,0.00161853
127,0.0145741,0,0.0145741,0.00161853
128,0.0145741,0,0.0145741,0.00161853
129,0.0145741,0,0.0145741,0.00161853
130,0.0145741,0,0.0145741,0.00161853
131,0.0145741,0,0.0145741,0.00161853
132,0.0145741,0,0.0145741,0.00161853
133,0.0145741,0,0.0145741,0.00161853
134,0.0145741,0,0.0145741,0.00161853
135,0.0145741,0,0.0145741,0.00161853
136,0.0145741,0,0.0145741,0.00161853
137,0.0145741,0,0.0145741,0.00161853
138,0.0145741,0,0.0145741,0.00161853
139,0.0145741,0,0.0145741,0.00161853
140,0.0145741,0,0.0145741,0.00161853
141,0.0145741,0,0.0145741,0.00161853
142,0.0145741,0,0.0145741,0.00161853
