method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Troesch,1,-1,115.3364154564,0.0000000000,3,2
PISR-NSGA-II,Troesch,1,-1,193.2727250250,0.0000000000,7,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,68.7054219597,0.0000000000,3,1
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,251.2285437245,0.0000000000,6,6
PISR-NSGA-II,Troesch,1,-1,48.1726152275,0.0000000000,4,1
PISR-NSGA-II,Troesch,1,-1,251.2285437245,0.0000000000,6,6
PISR-NSGA-II,Troesch,1,-1,250.6706441083,0.0000000000,9,8
PISR-NSGA-II,Troesch,1,-1,161.6059742577,0.0000000000,4,3
PISR-NSGA-II,Troesch,1,-1,68.7054219597,0.0000000000,3,1
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,223.7507406362,0.0000000000,7,7
PISR-NSGA-II,Troesch,1,-1,251.2285437245,0.0000000000,6,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,68.7054219597,0.0000000000,3,1
PISR-NSGA-II,Troesch,1,-1,193.2727250250,0.0000000000,7,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,193.2727250250,0.0000000000,7,6
PISR-NSGA-II,Troesch,1,-1,250.6706441083,0.0000000000,9,8
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,68.7054219597,0.0000000000,3,1
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,115.3364154564,0.0000000000,3,2
PISR-NSGA-II,Troesch,1,-1,115.3364154564,0.0000000000,3,2
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,250.6706441083,0.0000000000,9,8
PISR-NSGA-II,Troesch,1,-1,223.7507406362,0.0000000000,7,7
PISR-NSGA-II,Troesch,1,-1,223.7507406362,0.0000000000,7,7
PISR-NSGA-II,Troesch,1,-1,250.6706441083,0.0000000000,9,8
PISR-NSGA-II,Troesch,1,-1,68.7054219597,0.0000000000,3,1
PISR-NSGA-II,Troesch,1,-1,193.2727250250,0.0000000000,7,6
PISR-NSGA-II,Troesch,1,-1,201.2068631403,0.0000000000,8,7
PISR-NSGA-II,Troesch,1,-1,193.2727250250,0.0000000000,7,6
PISR-NSGA-II,Troesch,1,-1,250.6706441083,0.0000000000,9,8
PISR-NSGA-II,Troesch,1,-1,193.2727250250,0.0000000000,7,6
PISR-NSGA-II,Troesch,1,-1,250.6706441083,0.0000000000,9,8
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,193.2727250250,0.0000000000,7,6
PISR-NSGA-II,Troesch,1,-1,201.2068631403,0.0000000000,8,7
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,48.1726152275,0.0000000000,4,1
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,251.2285437245,0.0000000000,6,6
PISR-NSGA-II,Troesch,1,-1,223.7507406362,0.0000000000,7,7
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,68.7054219597,0.0000000000,3,1
PISR-NSGA-II,Troesch,1,-1,250.6706441083,0.0000000000,9,8
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,115.3364154564,0.0000000000,3,2
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,115.3364154564,0.0000000000,3,2
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,201.2068631403,0.0000000000,8,7
PISR-NSGA-II,Troesch,1,-1,48.1726152275,0.0000000000,4,1
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,115.3364154564,0.0000000000,3,2
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,223.7507406362,0.0000000000,7,7
PISR-NSGA-II,Troesch,1,-1,68.7054219597,0.0000000000,3,1
PISR-NSGA-II,Troesch,1,-1,250.6706441083,0.0000000000,9,8
PISR-NSGA-II,Troesch,1,-1,68.7054219597,0.0000000000,3,1
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,193.2727250250,0.0000000000,7,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,1082.6062572688,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,-1,125.5648586460,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,20
PISR-NSGA-II,Troesch,1,-1,6605.8388553330,0.0000000000,1,19
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,18
PISR-NSGA-II,Troesch,1,-1,8081.0582821861,0.0000000000,1,19
PISR-NSGA-II,Troesch,1,-1,187.3153140002,0.0000000000,2,2
PISR-NSGA-II,Troesch,1,-1,9618.7397960238,0.0000000000,9,13
PISR-NSGA-II,Troesch,1,-1,125.5648586460,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,-1,101.5948615238,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,110.0881308378,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,6954.8646981465,0.0000000000,21,11
PISR-NSGA-II,Troesch,1,-1,125.5648586460,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,16
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Troesch,1,-1,107.7694986207,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,229.4936150731,0.0000000000,1,16
PISR-NSGA-II,Troesch,1,-1,1596.4888744402,0.0000000000,12,10
PISR-NSGA-II,Troesch,1,-1,197.8141372083,0.0000000000,26,11
PISR-NSGA-II,Troesch,1,-1,229.4936150731,0.0000000000,1,16
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,20
PISR-NSGA-II,Troesch,1,-1,4091.1014122879,0.0000000000,17,14
PISR-NSGA-II,Troesch,1,-1,229.4936150731,0.0000000000,1,16
PISR-NSGA-II,Troesch,1,-1,140.4281076721,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,214.4340185572,0.0000000000,5,10
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,17
PISR-NSGA-II,Troesch,1,-1,435.7704431320,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,91.6323237509,0.0000000000,13,10
PISR-NSGA-II,Troesch,1,-1,162.1518641950,0.0000000000,4,4
PISR-NSGA-II,Troesch,1,-1,140.4281076721,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,344.5099664266,0.0000000000,9,9
PISR-NSGA-II,Troesch,1,-1,125.5648586460,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,20
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,17
PISR-NSGA-II,Troesch,1,-1,125.5648586460,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,-1,193.9991628987,0.0000000000,9,12
PISR-NSGA-II,Troesch,1,-1,5771.6603699013,0.0000000000,8,14
PISR-NSGA-II,Troesch,1,-1,51.3811381810,0.0000000000,4,2
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,18
PISR-NSGA-II,Troesch,1,-1,250.2037109264,0.0000000000,3,3
PISR-NSGA-II,Troesch,1,-1,225.1161055668,0.0000000000,8,12
PISR-NSGA-II,Troesch,1,-1,4364.2966406875,0.0000000000,7,12
PISR-NSGA-II,Troesch,1,-1,141.2274812527,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,408.9145120280,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,140.4281076721,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,138.4941733283,0.0000000000,7,10
PISR-NSGA-II,Troesch,1,-1,125.5648586460,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,-1,140.4281076721,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,16
PISR-NSGA-II,Troesch,1,-1,169.9729254734,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,310.6384340612,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,107.7694986207,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,192.0838345125,0.0000000000,4,5
PISR-NSGA-II,Troesch,1,-1,316.9576743783,0.0000000000,3,4
PISR-NSGA-II,Troesch,1,-1,141.6718049089,0.0000000000,3,10
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,20
PISR-NSGA-II,Troesch,1,-1,1259.7249474021,0.0000000000,6,10
PISR-NSGA-II,Troesch,1,-1,948.9253291787,0.0000000000,9,11
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,15
PISR-NSGA-II,Troesch,1,-1,125.5648586460,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,-1,107.7694986207,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,229.4936150643,0.0000000000,1,16
PISR-NSGA-II,Troesch,1,-1,306.3267011322,0.0000000000,19,11
PISR-NSGA-II,Troesch,1,-1,106.0971838554,0.0000000000,9,3
PISR-NSGA-II,Troesch,1,-1,1071.2752951767,0.0000000000,7,11
PISR-NSGA-II,Troesch,1,-1,229.4936150731,0.0000000000,1,16
PISR-NSGA-II,Troesch,1,-1,229.4936150731,0.0000000000,1,16
PISR-NSGA-II,Troesch,1,-1,248.9731248725,0.0000000000,12,11
PISR-NSGA-II,Troesch,1,-1,125.5648586460,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,-1,159.3196088660,0.0000000000,8,3
PISR-NSGA-II,Troesch,1,-1,137.6673820790,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,226.2768115286,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,1000000000000000000.0000000000,1000000000000000000.0000000000,0,17
PISR-NSGA-II,Troesch,1,-1,125.5648586460,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,-1,116.3551830288,0.0000000000,1,15
PISR-NSGA-II,Troesch,1,-1,229.4936150643,0.0000000000,1,16
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,52.5776658479,0.0000000000,4,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,52.5776658479,0.0000000000,4,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,94.7778379844,0.0000000000,3,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,16.1819327500,0.0000000000,5,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,52.5776658479,0.0000000000,4,1
PISR-NSGA-II,Troesch,1,0,151.9504875547,0.0000000000,2,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,199.0533718407,0.0000000000,1,1
PISR-NSGA-II,Troesch,1,0,98.3745636624,0.0000000000,3,2
PISR-NSGA-II,Troesch,1,0,237.5434617020,0.0000000000,2,2
PISR-NSGA-II,Troesch,1,0,60.5388914512,0.0000000000,4,2
PISR-NSGA-II,Troesch,1,0,51.6196108126,0.0000000000,8,2
PISR-NSGA-II,Troesch,1,0,300.3976546277,0.0000000000,2,3
PISR-NSGA-II,Troesch,1,0,300.3976546277,0.0000000000,2,3
PISR-NSGA-II,Troesch,1,0,300.3976546277,0.0000000000,2,3
PISR-NSGA-II,Troesch,1,0,103.0244317634,0.0000000000,3,3
PISR-NSGA-II,Troesch,1,0,64.2451796126,0.0000000000,4,3
PISR-NSGA-II,Troesch,1,0,58.1879185173,0.0000000000,13,3
PISR-NSGA-II,Troesch,1,0,300.3976546277,0.0000000000,2,3
PISR-NSGA-II,Troesch,1,0,300.3976546277,0.0000000000,2,3
PISR-NSGA-II,Troesch,1,0,104.4299991269,0.0000000000,3,4
PISR-NSGA-II,Troesch,1,0,66.3390565661,0.0000000000,4,4
PISR-NSGA-II,Troesch,1,0,73.1009725043,0.0000000000,4,5
PISR-NSGA-II,Troesch,1,0,73.1009725043,0.0000000000,4,5
PISR-NSGA-II,Troesch,1,0,73.1009725043,0.0000000000,4,5
PISR-NSGA-II,Troesch,1,0,105.2665967428,0.0000000000,3,5
PISR-NSGA-II,Troesch,1,0,73.1009725043,0.0000000000,4,5
PISR-NSGA-II,Troesch,1,0,73.1009725043,0.0000000000,5,6
PISR-NSGA-II,Troesch,1,0,105.6619641442,0.0000000000,3,6
PISR-NSGA-II,Troesch,1,0,73.2032524146,0.0000000000,4,6
PISR-NSGA-II,Troesch,1,0,74.1493752387,0.0000000000,4,7
PISR-NSGA-II,Troesch,1,0,105.9655822393,0.0000000000,3,7
PISR-NSGA-II,Troesch,1,0,106.7537544490,0.0000000000,3,8
PISR-NSGA-II,Troesch,1,0,106.7537544490,0.0000000000,3,8
PISR-NSGA-II,Troesch,1,0,106.7537544490,0.0000000000,3,8
PISR-NSGA-II,Troesch,1,0,106.7537544490,0.0000000000,3,8
PISR-NSGA-II,Troesch,1,0,106.7537544490,0.0000000000,3,8
PISR-NSGA-II,Troesch,1,0,106.7537544490,0.0000000000,3,8
