x,y,u_exact,u_approx
0.000000,0.000000,1.000000,1.000074
0.000000,0.033333,0.999445,0.999574
0.000000,0.066667,0.997782,0.997931
0.000000,0.100000,0.995021,0.995164
0.000000,0.133333,0.991176,0.991297
0.000000,0.166667,0.986270,0.986358
0.000000,0.200000,0.980328,0.980379
0.000000,0.233333,0.973382,0.973397
0.000000,0.266667,0.965468,0.965448
0.000000,0.300000,0.956628,0.956576
0.000000,0.333333,0.946905,0.946825
0.000000,0.366667,0.936348,0.936244
0.000000,0.400000,0.925007,0.924883
0.000000,0.433333,0.912936,0.912797
0.000000,0.466667,0.900188,0.900041
0.000000,0.500000,0.886819,0.886672
0.000000,0.533333,0.872886,0.872749
0.000000,0.566667,0.858444,0.858328
0.000000,0.600000,0.843551,0.843469
0.000000,0.633333,0.828261,0.828225
0.000000,0.666667,0.812628,0.812652
0.000000,0.700000,0.796705,0.796801
0.000000,0.733333,0.780544,0.780720
0.000000,0.766667,0.764194,0.764450
0.000000,0.800000,0.747700,0.748025
0.000000,0.833333,0.731108,0.731469
0.000000,0.866667,0.714460,0.714790
0.000000,0.900000,0.697795,0.697981
0.000000,0.933333,0.681150,0.681016
0.000000,0.966667,0.664559,0.663851
0.000000,1.000000,0.648054,0.646423
0.033333,0.000000,0.999445,0.999412
0.033333,0.033333,0.997782,0.998110
0.033333,0.066667,0.995021,0.995675
0.033333,0.100000,0.991176,0.992130
0.033333,0.133333,0.986270,0.987507
0.033333,0.166667,0.980328,0.981839
0.033333,0.200000,0.973382,0.975166
0.033333,0.233333,0.965468,0.967525
0.033333,0.266667,0.956628,0.958961
0.033333,0.300000,0.946905,0.949519
0.033333,0.333333,0.936348,0.939247
0.033333,0.366667,0.925007,0.928195
0.033333,0.400000,0.912936,0.916415
0.033333,0.433333,0.900188,0.903959
0.033333,0.466667,0.886819,0.890883
0.033333,0.500000,0.872886,0.877238
0.033333,0.533333,0.858444,0.863079
0.033333,0.566667,0.843551,0.848456
0.033333,0.600000,0.828261,0.833418
0.033333,0.633333,0.812628,0.818013
0.033333,0.666667,0.796705,0.802282
0.033333,0.700000,0.780544,0.786264
0.033333,0.733333,0.764194,0.769994
0.033333,0.766667,0.747700,0.753496
0.033333,0.800000,0.731108,0.736790
0.033333,0.833333,0.714460,0.719879
0.033333,0.866667,0.697795,0.702754
0.033333,0.900000,0.681150,0.685390
0.033333,0.933333,0.664559,0.667739
0.033333,0.966667,0.648054,0.649737
