x,y,u_exact,u_approx
0,0,0,0
0,0.0333333,0,0.0333333
0,0.0666667,0,0.0666667
0,0.1,0,0.1
0,0.133333,0,0.133333
0,0.166667,0,0.166667
0,0.2,0,0.2
0,0.233333,0,0.233333
0,0.266667,0,0.266667
0,0.3,0,0.3
0,0.333333,0,0.333333
0,0.366667,0,0.366667
0,0.4,0,0.4
0,0.433333,0,0.433333
0,0.466667,0,0.466667
0,0.5,0,0.5
0,0.533333,0,0.533333
0,0.566667,0,0.566667
0,0.6,0,0.6
0,0.633333,0,0.633333
0,0.666667,0,0.666667
0,0.7,0,0.7
0,0.733333,0,0.733333
0,0.766667,0,0.766667
0,0.8,0,0.8
0,0.833333,0,0.833333
0,0.866667,0,0.866667
0,0.9,0,0.9
0,0.933333,0,0.933333
0,0.966667,0,0.966667
0,1,0,1
0.0333333,0,0,-0.0186725
0.0333333,0.0333333,0.0109262,0.0146609
0.0333333,0.0666667,0.0217327,0.0479942
0.0333333,0.1,0.0323011,0.0813275
0.0333333,0.133333,0.0425156,0.114661
0.0333333,0.166667,0.0522642,0.147994
0.0333333,0.2,0.0614403,0.181328
0.0333333,0.233333,0.0699432,0.214661
0.0333333,0.266667,0.0776798,0.247994
0.0333333,0.3,0.0845653,0.281328
0.0333333,0.333333,0.0905243,0.314661
0.0333333,0.366667,0.0954915,0.347994
0.0333333,0.4,0.0994125,0.381328
0.0333333,0.433333,0.102244,0.414661
0.0333333,0.466667,0.103956,0.447994
0.0333333,0.5,0.104528,0.481328
0.0333333,0.533333,0.103956,0.514661
0.0333333,0.566667,0.102244,0.547994
0.0333333,0.6,0.0994125,0.581328
0.0333333,0.633333,0.0954915,0.614661
0.0333333,0.666667,0.0905243,0.647994
0.0333333,0.7,0.0845653,0.681328
0.0333333,0.733333,0.0776798,0.714661
0.0333333,0.766667,0.0699432,0.747994
0.0333333,0.8,0.0614403,0.781328
0.0333333,0.833333,0.0522642,0.814661
0.0333333,0.866667,0.0425156,0.847994
0.0333333,0.9,0.0323011,0.881328
0.0333333,0.933333,0.0217327,0.914661
0.0333333,0.966667,0.0109262,0.947994
0.0333333,1,1.2801e-17,0.981328
0.0666667,0,0,-0.0373449
0.0666667,0.0333333,0.0217327,-0.00401162
0.0666667,0.0666667,0.0432273,0.0293217
0.0666667,0.1,0.0642482,0.0626551
0.0666667,0.133333,0.0845653,0.0959884
0.0666667,0.166667,0.103956,0.129322
0.0666667,0.2,0.122207,0.162655
0.0666667,0.233333,0.13912,0.195988
0.0666667,0.266667,0.154508,0.229322
0.0666667,0.3,0.168204,0.262655
0.0666667,0.333333,0.180057,0.295988
0.0666667,0.366667,0.189937,0.329322
0.0666667,0.4,0.197736,0.362655
0.0666667,0.433333,0.203368,0.395988
0.0666667,0.466667,0.206773,0.429322
0.0666667,0.5,0.207912,0.462655
0.0666667,0.533333,0.206773,0.495988
0.0666667,0.566667,0.203368,0.529322
0.0666667,0.6,0.197736,0.562655
0.0666667,0.633333,0.189937,0.595988
0.0666667,0.666667,0.180057,0.629322
0.0666667,0.7,0.168204,0.662655
0.0666667,0.733333,0.154508,0.695988
0.0666667,0.766667,0.13912,0.729322
0.0666667,0.8,0.122207,0.762655
0.0666667,0.833333,0.103956,0.795988
0.0666667,0.866667,0.0845653,0.829322
0.0666667,0.9,0.0642482,0.862655
0.0666667,0.933333,0.0432273,0.895988
0.0666667,0.966667,0.0217327,0.929322
0.0666667,1,2.54618e-17,0.962655
0.1,0,0,-0.0560174
0.1,0.0333333,0.0323011,-0.0226841
0.1,0.0666667,0.0642482,0.0106492
0.1,0.1,0.0954915,0.0439826
0.1,0.133333,0.125689,0.0773159
0.1,0.166667,0.154508,0.110649
0.1,0.2,0.181636,0.143983
0.1,0.233333,0.206773,0.177316
0.1,0.266667,0.229644,0.210649
0.1,0.3,0.25,0.243983
0.1,0.333333,0.267617,0.277316
0.1,0.366667,0.282301,0.310649
0.1,0.4,0.293893,0.343983
0.1,0.433333,0.302264,0.377316
0.1,0.466667,0.307324,0.410649
0.1,0.5,0.309017,0.443983
0.1,0.533333,0.307324,0.477316
0.1,0.566667,0.302264,0.510649
0.1,0.6,0.293893,0.543983
0.1,0.633333,0.282301,0.577316
0.1,0.666667,0.267617,0.610649
0.1,0.7,0.25,0.643983
0.1,0.733333,0.229644,0.677316
0.1,0.766667,0.206773,0.710649
0.1,0.8,0.181636,0.743983
0.1,0.833333,0.154508,0.777316
0.1,0.866667,0.125689,0.810649
0.1,0.9,0.0954915,0.843983
0.1,0.933333,0.0642482,0.877316
0.1,0.966667,0.0323011,0.910649
0.1,1,3.78437e-17,0.943983
0.133333,0,0,-0.0746899
0.133333,0.0333333,0.0425156,-0.0413566
0.133333,0.0666667,0.0845653,-0.00802323
0.133333,0.1,0.125689,0.0253101
0.133333,0.133333,0.165435,0.0586434
0.133333,0.166667,0.203368,0.0919768
0.133333,0.2,0.239074,0.12531
0.133333,0.233333,0.27216,0.158643
0.133333,0.266667,0.302264,0.191977
0.133333,0.3,0.329057,0.22531
0.133333,0.333333,0.352244,0.258643
0.133333,0.366667,0.371572,0.291977
0.133333,0.4,0.38683,0.32531
0.133333,0.433333,0.397848,0.358643
0.133333,0.466667,0.404508,0.391977
0.133333,0.5,0.406737,0.42531
0.133333,0.533333,0.404508,0.458643
0.133333,0.566667,0.397848,0.491977
0.133333,0.6,0.38683,0.52531
0.133333,0.633333,0.371572,0.558643
0.133333,0.666667,0.352244,0.591977
0.133333,0.7,0.329057,0.62531
0.133333,0.733333,0.302264,0.658643
0.133333,0.766667,0.27216,0.691977
0.133333,0.8,0.239074,0.72531
0.133333,0.833333,0.203368,0.758643
0.133333,0.866667,0.165435,0.791977
0.133333,0.9,0.125689,0.82531
0.133333,0.933333,0.0845653,0.858643
0.133333,0.966667,0.0425156,0.891977
0.133333,1,4.98109e-17,0.92531
0.166667,0,0,-0.0933624
0.166667,0.0333333,0.0522642,-0.060029
0.166667,0.0666667,0.103956,-0.0266957
0.166667,0.1,0.154508,0.00663763
0.166667,0.133333,0.203368,0.039971
0.166667,0.166667,0.25,0.0733043
0.166667,0.2,0.293893,0.106638
0.166667,0.233333,0.334565,0.139971
0.166667,0.266667,0.371572,0.173304
0.166667,0.3,0.404508,0.206638
0.166667,0.333333,0.433013,0.239971
0.166667,0.366667,0.456773,0.273304
0.166667,0.4,0.475528,0.306638
0.166667,0.433333,0.489074,0.339971
0.166667,0.466667,0.497261,0.373304
0.166667,0.5,0.5,0.406638
0.166667,0.533333,0.497261,0.439971
0.166667,0.566667,0.489074,0.473304
0.166667,0.6,0.475528,0.506638
0.166667,0.633333,0.456773,0.539971
0.166667,0.666667,0.433013,0.573304
0.166667,0.7,0.404508,0.606638
0.166667,0.733333,0.371572,0.639971
0.166667,0.766667,0.334565,0.673304
0.166667,0.8,0.293893,0.706638
0.166667,0.833333,0.25,0.739971
0.166667,0.866667,0.203368,0.773304
0.166667,0.9,0.154508,0.806638
0.166667,0.933333,0.103956,0.839971
0.166667,0.966667,0.0522642,0.873304
0.166667,1,6.12323e-17,0.906638
0.2,0,0,-0.112035
0.2,0.0333333,0.0614403,-0.0787015
0.2,0.0666667,0.122207,-0.0453682
0.2,0.1,0.181636,-0.0120348
0.2,0.133333,0.239074,0.0212985
0.2,0.166667,0.293893,0.0546318
0.2,0.2,0.345492,0.0879652
0.2,0.233333,0.393305,0.121298
0.2,0.266667,0.43681,0.154632
0.2,0.3,0.475528,0.187965
0.2,0.333333,0.509037,0.221298
0.2,0.366667,0.536969,0.254632
0.2,0.4,0.559017,0.287965
0.2,0.433333,0.574941,0.321298
0.2,0.466667,0.584565,0.354632
0.2,0.5,0.587785,0.387965
0.2,0.533333,0.584565,0.421298
0.2,0.566667,0.574941,0.454632
0.2,0.6,0.559017,0.487965
0.2,0.633333,0.536969,0.521298
0.2,0.666667,0.509037,0.554632
0.2,0.7,0.475528,0.587965
0.2,0.733333,0.43681,0.621298
0.2,0.766667,0.393305,0.654632
0.2,0.8,0.345492,0.687965
0.2,0.833333,0.293893,0.721298
0.2,0.866667,0.239074,0.754632
0.2,0.9,0.181636,0.787965
0.2,0.933333,0.122207,0.821298
0.2,0.966667,0.0614403,0.854632
0.2,1,7.19829e-17,0.887965
0.233333,0,0,-0.130707
0.233333,0.0333333,0.0699432,-0.097374
0.233333,0.0666667,0.13912,-0.0640407
0.233333,0.1,0.206773,-0.0307073
0.233333,0.133333,0.27216,0.00262601
0.233333,0.166667,0.334565,0.0359593
0.233333,0.2,0.393305,0.0692927
0.233333,0.233333,0.447736,0.102626
0.233333,0.266667,0.497261,0.135959
0.233333,0.3,0.541338,0.169293
0.233333,0.333333,0.579484,0.202626
0.233333,0.366667,0.611281,0.235959
0.233333,0.4,0.636381,0.269293
0.233333,0.433333,0.654508,0.302626
0.233333,0.466667,0.665465,0.335959
0.233333,0.5,0.669131,0.369293
0.233333,0.533333,0.665465,0.402626
0.233333,0.566667,0.654508,0.435959
0.233333,0.6,0.636381,0.469293
0.233333,0.633333,0.611281,0.502626
0.233333,0.666667,0.579484,0.535959
0.233333,0.7,0.541338,0.569293
0.233333,0.733333,0.497261,0.602626
0.233333,0.766667,0.447736,0.635959
0.233333,0.8,0.393305,0.669293
0.233333,0.833333,0.334565,0.702626
0.233333,0.866667,0.27216,0.735959
0.233333,0.9,0.206773,0.769293
0.233333,0.933333,0.13912,0.802626
0.233333,0.966667,0.0699432,0.835959
0.233333,1,8.19449e-17,0.869293
0.266667,0,0,-0.14938
0.266667,0.0333333,0.0776798,-0.116046
0.266667,0.0666667,0.154508,-0.0827131
0.266667,0.1,0.229644,-0.0493798
0.266667,0.133333,0.302264,-0.0160465
0.266667,0.166667,0.371572,0.0172869
0.266667,0.2,0.43681,0.0506202
0.266667,0.233333,0.497261,0.0839535
0.266667,0.266667,0.552264,0.117287
0.266667,0.3,0.601217,0.15062
0.266667,0.333333,0.643582,0.183954
0.266667,0.366667,0.678897,0.217287
0.266667,0.4,0.706773,0.25062
0.266667,0.433333,0.726905,0.283954
0.266667,0.466667,0.739074,0.317287
0.266667,0.5,0.743145,0.35062
0.266667,0.533333,0.739074,0.383954
0.266667,0.566667,0.726905,0.417287
0.266667,0.6,0.706773,0.45062
0.266667,0.633333,0.678897,0.483954
0.266667,0.666667,0.643582,0.517287
0.266667,0.7,0.601217,0.55062
0.266667,0.733333,0.552264,0.583954
0.266667,0.766667,0.497261,0.617287
0.266667,0.8,0.43681,0.65062
0.266667,0.833333,0.371572,0.683954
0.266667,0.866667,0.302264,0.717287
0.266667,0.9,0.229644,0.75062
0.266667,0.933333,0.154508,0.783954
0.266667,0.966667,0.0776798,0.817287
0.266667,1,9.1009e-17,0.85062
0.3,0,0,-0.168052
0.3,0.0333333,0.0845653,-0.134719
0.3,0.0666667,0.168204,-0.101386
0.3,0.1,0.25,-0.0680523
0.3,0.133333,0.329057,-0.0347189
0.3,0.166667,0.404508,-0.00138561
0.3,0.2,0.475528,0.0319477
0.3,0.233333,0.541338,0.0652811
0.3,0.266667,0.601217,0.0986144
0.3,0.3,0.654508,0.131948
0.3,0.333333,0.700629,0.165281
0.3,0.366667,0.739074,0.198614
0.3,0.4,0.769421,0.231948
0.3,0.433333,0.791338,0.265281
0.3,0.466667,0.804585,0.298614
0.3,0.5,0.809017,0.331948
0.3,0.533333,0.804585,0.365281
0.3,0.566667,0.791338,0.398614
0.3,0.6,0.769421,0.431948
0.3,0.633333,0.739074,0.465281
0.3,0.666667,0.700629,0.498614
0.3,0.7,0.654508,0.531948
0.3,0.733333,0.601217,0.565281
0.3,0.766667,0.541338,0.598614
0.3,0.8,0.475528,0.631948
0.3,0.833333,0.404508,0.665281
0.3,0.866667,0.329057,0.698614
0.3,0.9,0.25,0.731948
0.3,0.933333,0.168204,0.765281
0.3,0.966667,0.0845653,0.798614
0.3,1,9.9076e-17,0.831948
0.333333,0,0,-0.186725
0.333333,0.0333333,0.0905243,-0.153391
0.333333,0.0666667,0.180057,-0.120058
0.333333,0.1,0.267617,-0.0867247
0.333333,0.133333,0.352244,-0.0533914
0.333333,0.166667,0.433013,-0.0200581
0.333333,0.2,0.509037,0.0132753
0.333333,0.233333,0.579484,0.0466086
0.333333,0.266667,0.643582,0.0799419
0.333333,0.3,0.700629,0.113275
0.333333,0.333333,0.75,0.146609
0.333333,0.366667,0.791154,0.179942
0.333333,0.4,0.823639,0.213275
0.333333,0.433333,0.847101,0.246609
0.333333,0.466667,0.861281,0.279942
0.333333,0.5,0.866025,0.313275
0.333333,0.533333,0.861281,0.346609
0.333333,0.566667,0.847101,0.379942
0.333333,0.6,0.823639,0.413275
0.333333,0.633333,0.791154,0.446609
0.333333,0.666667,0.75,0.479942
0.333333,0.7,0.700629,0.513275
0.333333,0.733333,0.643582,0.546609
0.333333,0.766667,0.579484,0.579942
0.333333,0.8,0.509037,0.613275
0.333333,0.833333,0.433013,0.646609
0.333333,0.866667,0.352244,0.679942
0.333333,0.9,0.267617,0.713275
0.333333,0.933333,0.180057,0.746609
0.333333,0.966667,0.0905243,0.779942
0.333333,1,1.06058e-16,0.813275
0.366667,0,0,-0.205397
0.366667,0.0333333,0.0954915,-0.172064
0.366667,0.0666667,0.189937,-0.138731
0.366667,0.1,0.282301,-0.105397
0.366667,0.133333,0.371572,-0.0720639
0.366667,0.166667,0.456773,-0.0387306
0.366667,0.2,0.536969,-0.00539722
0.366667,0.233333,0.611281,0.0279361
0.366667,0.266667,0.678897,0.0612694
0.366667,0.3,0.739074,0.0946028
0.366667,0.333333,0.791154,0.127936
0.366667,0.366667,0.834565,0.161269
0.366667,0.4,0.868833,0.194603
0.366667,0.433333,0.893582,0.227936
0.366667,0.466667,0.908541,0.261269
0.366667,0.5,0.913545,0.294603
0.366667,0.533333,0.908541,0.327936
0.366667,0.566667,0.893582,0.361269
0.366667,0.6,0.868833,0.394603
0.366667,0.633333,0.834565,0.427936
0.366667,0.666667,0.791154,0.461269
0.366667,0.7,0.739074,0.494603
0.366667,0.733333,0.678897,0.527936
0.366667,0.766667,0.611281,0.561269
0.366667,0.8,0.536969,0.594603
0.366667,0.833333,0.456773,0.627936
0.366667,0.866667,0.371572,0.661269
0.366667,0.9,0.282301,0.694603
0.366667,0.933333,0.189937,0.727936
0.366667,0.966667,0.0954915,0.761269
0.366667,1,1.11877e-16,0.794603
0.4,0,0,-0.22407
0.4,0.0333333,0.0994125,-0.190736
0.4,0.0666667,0.197736,-0.157403
0.4,0.1,0.293893,-0.12407
0.4,0.133333,0.38683,-0.0907364
0.4,0.166667,0.475528,-0.057403
0.4,0.2,0.559017,-0.0240697
0.4,0.233333,0.636381,0.00926364
0.4,0.266667,0.706773,0.042597
0.4,0.3,0.769421,0.0759303
0.4,0.333333,0.823639,0.109264
0.4,0.366667,0.868833,0.142597
0.4,0.4,0.904508,0.17593
0.4,0.433333,0.930274,0.209264
0.4,0.466667,0.945847,0.242597
0.4,0.5,0.951057,0.27593
0.4,0.533333,0.945847,0.309264
0.4,0.566667,0.930274,0.342597
0.4,0.6,0.904508,0.37593
0.4,0.633333,0.868833,0.409264
0.4,0.666667,0.823639,0.442597
0.4,0.7,0.769421,0.47593
0.4,0.733333,0.706773,0.509264
0.4,0.766667,0.636381,0.542597
0.4,0.8,0.559017,0.57593
0.4,0.833333,0.475528,0.609264
0.4,0.866667,0.38683,0.642597
0.4,0.9,0.293893,0.67593
0.4,0.933333,0.197736,0.709264
0.4,0.966667,0.0994125,0.742597
0.4,1,1.16471e-16,0.77593
0.433333,0,0,-0.242742
0.433333,0.0333333,0.102244,-0.209409
0.433333,0.0666667,0.203368,-0.176076
0.433333,0.1,0.302264,-0.142742
0.433333,0.133333,0.397848,-0.109409
0.433333,0.166667,0.489074,-0.0760755
0.433333,0.2,0.574941,-0.0427422
0.433333,0.233333,0.654508,-0.00940884
0.433333,0.266667,0.726905,0.0239245
0.433333,0.3,0.791338,0.0572578
0.433333,0.333333,0.847101,0.0905912
0.433333,0.366667,0.893582,0.123924
0.433333,0.4,0.930274,0.157258
0.433333,0.433333,0.956773,0.190591
0.433333,0.466667,0.972789,0.223924
0.433333,0.5,0.978148,0.257258
0.433333,0.533333,0.972789,0.290591
0.433333,0.566667,0.956773,0.323924
0.433333,0.6,0.930274,0.357258
0.433333,0.633333,0.893582,0.390591
0.433333,0.666667,0.847101,0.423924
0.433333,0.7,0.791338,0.457258
0.433333,0.733333,0.726905,0.490591
0.433333,0.766667,0.654508,0.523924
0.433333,0.8,0.574941,0.557258
0.433333,0.833333,0.489074,0.590591
0.433333,0.866667,0.397848,0.623924
0.433333,0.9,0.302264,0.657258
0.433333,0.933333,0.203368,0.690591
0.433333,0.966667,0.102244,0.723924
0.433333,1,1.19789e-16,0.757258
0.466667,0,0,-0.261415
0.466667,0.0333333,0.103956,-0.228081
0.466667,0.0666667,0.206773,-0.194748
0.466667,0.1,0.307324,-0.161415
0.466667,0.133333,0.404508,-0.128081
0.466667,0.166667,0.497261,-0.094748
0.466667,0.2,0.584565,-0.0614146
0.466667,0.233333,0.665465,-0.0280813
0.466667,0.266667,0.739074,0.00525202
0.466667,0.3,0.804585,0.0385854
0.466667,0.333333,0.861281,0.0719187
0.466667,0.366667,0.908541,0.105252
0.466667,0.4,0.945847,0.138585
0.466667,0.433333,0.972789,0.171919
0.466667,0.466667,0.989074,0.205252
0.466667,0.5,0.994522,0.238585
0.466667,0.533333,0.989074,0.271919
0.466667,0.566667,0.972789,0.305252
0.466667,0.6,0.945847,0.338585
0.466667,0.633333,0.908541,0.371919
0.466667,0.666667,0.861281,0.405252
0.466667,0.7,0.804585,0.438585
0.466667,0.733333,0.739074,0.471919
0.466667,0.766667,0.665465,0.505252
0.466667,0.8,0.584565,0.538585
0.466667,0.833333,0.497261,0.571919
0.466667,0.866667,0.404508,0.605252
0.466667,0.9,0.307324,0.638585
0.466667,0.933333,0.206773,0.671919
0.466667,0.966667,0.103956,0.705252
0.466667,1,1.21794e-16,0.738585
0.5,0,0,-0.280087
0.5,0.0333333,0.104528,-0.246754
0.5,0.0666667,0.207912,-0.21342
0.5,0.1,0.309017,-0.180087
0.5,0.133333,0.406737,-0.146754
0.5,0.166667,0.5,-0.11342
0.5,0.2,0.587785,-0.0800871
0.5,0.233333,0.669131,-0.0467538
0.5,0.266667,0.743145,-0.0134205
0.5,0.3,0.809017,0.0199129
0.5,0.333333,0.866025,0.0532462
0.5,0.366667,0.913545,0.0865795
0.5,0.4,0.951057,0.119913
0.5,0.433333,0.978148,0.153246
0.5,0.466667,0.994522,0.18658
0.5,0.5,1,0.219913
0.5,0.533333,0.994522,0.253246
0.5,0.566667,0.978148,0.28658
0.5,0.6,0.951057,0.319913
0.5,0.633333,0.913545,0.353246
0.5,0.666667,0.866025,0.38658
0.5,0.7,0.809017,0.419913
0.5,0.733333,0.743145,0.453246
0.5,0.766667,0.669131,0.48658
