x,y,u_exact,u_approx
0.000000,0.000000,0.000000,0.000198
0.000000,0.033333,0.031679,0.030926
0.000000,0.066667,0.063430,0.062179
0.000000,0.100000,0.095323,0.093927
0.000000,0.133333,0.127420,0.126139
0.000000,0.166667,0.159775,0.158782
0.000000,0.200000,0.192432,0.191819
0.000000,0.233333,0.225419,0.225214
0.000000,0.266667,0.258753,0.258928
0.000000,0.300000,0.292432,0.292921
0.000000,0.333333,0.326442,0.327151
0.000000,0.366667,0.360753,0.361577
0.000000,0.400000,0.395323,0.396155
0.000000,0.433333,0.430097,0.430842
0.000000,0.466667,0.465012,0.465594
0.000000,0.500000,0.500000,0.500365
0.000000,0.533333,0.534988,0.535113
0.000000,0.566667,0.569903,0.569794
0.000000,0.600000,0.604677,0.604364
0.000000,0.633333,0.639247,0.638783
0.000000,0.666667,0.673558,0.673015
0.000000,0.700000,0.707568,0.707021
0.000000,0.733333,0.741247,0.740771
0.000000,0.766667,0.774581,0.774242
0.000000,0.800000,0.807568,0.807409
0.000000,0.833333,0.840225,0.840262
0.000000,0.866667,0.872580,0.872794
0.000000,0.900000,0.904677,0.905006
0.000000,0.933333,0.936570,0.936909
0.000000,0.966667,0.968321,0.968524
0.000000,1.000000,1.000000,0.999876
0.033333,0.000000,0.000000,0.000355
0.033333,0.033333,0.031776,0.031128
0.033333,0.066667,0.063619,0.062419
0.033333,0.100000,0.095596,0.094198
0.033333,0.133333,0.127766,0.126434
0.033333,0.166667,0.160179,0.159095
0.033333,0.200000,0.192875,0.192145
0.033333,0.233333,0.225883,0.225546
0.033333,0.266667,0.259216,0.259262
0.033333,0.300000,0.292875,0.293250
0.033333,0.333333,0.326845,0.327471
0.033333,0.366667,0.361099,0.361883
0.033333,0.400000,0.395596,0.396442
0.033333,0.433333,0.430286,0.431106
0.033333,0.466667,0.465109,0.465831
0.033333,0.500000,0.500000,0.500572
0.033333,0.533333,0.534891,0.535286
0.033333,0.566667,0.569714,0.569932
0.033333,0.600000,0.604404,0.604466
0.033333,0.633333,0.638901,0.638849
0.033333,0.666667,0.673155,0.673046
0.033333,0.700000,0.707125,0.707019
0.033333,0.733333,0.740784,0.740741
0.033333,0.766667,0.774117,0.774189
0.033333,0.800000,0.807125,0.807340
0.033333,0.833333,0.839821,0.840184
0.033333,0.866667,0.872234,0.872717
0.033333,0.900000,0.904404,0.904941
0.033333,0.933333,0.936381,0.936866
0.033333,0.966667,0.968224,0.968514
0.033333,1.000000,1.000000,0.999907
0.066667,0.000000,0.000000,0.000476
0.066667,0.033333,0.031867,0.031293
0.066667,0.066667,0.063798,0.062621
0.066667,0.100000,0.095854,0.094430
