x,u_exact,u_approx
0,0,0
0.01,0.00320566,0.00495412
0.02,0.00641132,0.00981834
0.03,0.00962098,0.0145954
0.04,0.0128308,0.0192882
0.05,0.0160483,0.0238994
0.06,0.0192665,0.0284318
0.07,0.0224958,0.0328882
0.08,0.0257265,0.0372714
0.09,0.0289714,0.0415842
0.1,0.032219,0.0458293
0.11,0.0354833,0.0500095
0.12,0.0387519,0.0541277
0.13,0.0420396,0.0581865
0.14,0.0453336,0.0621888
0.15,0.0486487,0.0661373
0.16,0.0519722,0.0700348
0.17,0.0553185,0.0738842
0.18,0.058676,0.0776881
0.19,0.0620576,0.0814494
0.2,0.0654532,0.0851709
0.21,0.068874,0.0888553
0.22,0.0723122,0.0925054
0.23,0.0757763,0.0961239
0.24,0.0792614,0.0997138
0.25,0.0827728,0.103278
0.26,0.0863092,0.106818
0.27,0.0898718,0.110339
0.28,0.093464,0.113841
0.29,0.097082,0.117329
0.3,0.100734,0.120805
0.31,0.104412,0.124272
0.32,0.108129,0.127732
0.33,0.11187,0.131188
0.34,0.115656,0.134644
0.35,0.119465,0.138101
0.36,0.123324,0.141563
0.37,0.127205,0.145032
0.38,0.131143,0.148512
0.39,0.1351,0.152004
0.4,0.13912,0.155513
0.41,0.143157,0.15904
0.42,0.147266,0.162588
0.43,0.151387,0.16616
0.44,0.155587,0.169759
0.45,0.159798,0.173388
0.46,0.164095,0.177049
0.47,0.168398,0.180745
0.48,0.172797,0.18448
0.49,0.177198,0.188255
0.5,0.181703,0.192074
0.51,0.186208,0.195939
0.52,0.190822,0.199853
0.53,0.195439,0.203819
0.54,0.200164,0.20784
0.55,0.204896,0.211918
0.56,0.209737,0.216057
0.57,0.214591,0.220258
0.58,0.219553,0.224526
0.59,0.224532,0.228862
0.6,0.229619,0.233269
0.61,0.23473,0.23775
0.62,0.239946,0.242309
0.63,0.245193,0.246947
0.64,0.250544,0.251668
0.65,0.255933,0.256473
0.66,0.261423,0.261367
0.67,0.266959,0.266352
0.68,0.272593,0.27143
0.69,0.278281,0.276605
0.7,0.284065,0.281879
0.71,0.289911,0.287255
0.72,0.295849,0.292735
0.73,0.301858,0.298323
0.74,0.307956,0.304022
0.75,0.314133,0.309833
0.76,0.320396,0.31576
0.77,0.326748,0.321806
0.78,0.333181,0.327974
0.79,0.339714,0.334265
0.8,0.346323,0.340684
0.81,0.353042,0.347232
0.82,0.359832,0.353913
0.83,0.366744,0.360729
0.84,0.37372,0.367683
0.85,0.380831,0.374778
0.86,0.388,0.382017
0.87,0.395316,0.389402
0.88,0.402684,0.396936
0.89,0.410212,0.404623
0.9,0.417785,0.412464
0.91,0.425531,0.420463
0.92,0.433315,0.428622
0.93,0.441287,0.436944
0.94,0.449288,0.445432
0.95,0.457492,0.454089
0.96,0.465717,0.462917
0.97,0.474161,0.471919
0.98,0.482616,0.481099
0.99,0.491308,0.490458
1,0.5,0.5
