method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.0028596119,0.0000000000,9,1
PISR-NSGA-II,Fisher,2,0.0136758992,0.0000000000,5,1
PISR-NSGA-II,Fisher,2,0.1029252096,0.0000000000,4,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1029252096,0.0000000000,4,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1029252096,0.0000000000,4,1
PISR-NSGA-II,Fisher,2,0.1029252096,0.0000000000,4,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
PISR-NSGA-II,Fisher,2,0.1335286894,0.0000000000,3,1
