method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Laplace,1,0.0000000021,0.0000000000,3,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,2.5200782528,0.0000000000,2,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,2.5200782528,0.0000000000,2,1
PISR-NSGA-II,Laplace,1,0.0671603794,0.0000000000,6,4
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,0.0026155111,0.0000000000,7,5
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,0.4568734914,0.0000000000,4,4
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,4.2029514264,0.0000000000,1,1
PISR-NSGA-II,Laplace,1,0.0027990509,0.0000000000,7,6
PISR-NSGA-II,Laplace,1,0.4630370009,0.0000000000,4,5
PISR-NSGA-II,Laplace,1,2.9665728373,0.0000000000,2,2
PISR-NSGA-II,Laplace,1,2.9665728373,0.0000000000,2,2
PISR-NSGA-II,Laplace,1,3.4019079978,0.0000000000,2,3
PISR-NSGA-II,Laplace,1,0.0254758053,0.0000000000,7,7
PISR-NSGA-II,Laplace,1,3.4019079978,0.0000000000,2,3
PISR-NSGA-II,Laplace,1,3.4019079978,0.0000000000,2,3
PISR-NSGA-II,Laplace,1,0.4663028383,0.0000000000,4,6
PISR-NSGA-II,Laplace,1,3.4019079978,0.0000000000,2,3
PISR-NSGA-II,Laplace,1,0.4713133971,0.0000000000,4,7
PISR-NSGA-II,Laplace,1,4.0559156354,0.0000000000,3,6
PISR-NSGA-II,Laplace,1,1.1326647498,0.0000000000,7,13
PISR-NSGA-II,Laplace,1,6.0361914322,0.0000000000,2,4
PISR-NSGA-II,Laplace,1,0.4732272479,0.0000000000,4,8
PISR-NSGA-II,Laplace,1,1.1332781033,0.0000000000,7,14
PISR-NSGA-II,Laplace,1,4.1554378798,0.0000000000,3,9
PISR-NSGA-II,Laplace,1,7.7214667006,0.0000000000,2,5
PISR-NSGA-II,Laplace,1,0.0000000021,0.0000000000,3,2
PISR-NSGA-II,Laplace,1,0.4738150958,0.0000000000,4,9
PISR-NSGA-II,Laplace,1,1.1334852892,0.0000000000,7,15
PISR-NSGA-II,Laplace,1,0.4750433545,0.0000000000,4,10
PISR-NSGA-II,Laplace,1,0.4750433545,0.0000000000,4,10
PISR-NSGA-II,Laplace,1,0.4750433545,0.0000000000,4,10
PISR-NSGA-II,Laplace,1,1.1338989971,0.0000000000,7,16
PISR-NSGA-II,Laplace,1,4.1554378928,0.0000000000,3,11
PISR-NSGA-II,Laplace,1,0.4758504752,0.0000000000,4,11
PISR-NSGA-II,Laplace,1,4.1554378581,0.0000000000,3,7
PISR-NSGA-II,Laplace,1,1.1339659003,0.0000000000,7,17
PISR-NSGA-II,Laplace,1,4.1554378808,0.0000000000,3,10
PISR-NSGA-II,Laplace,1,1.1339940971,0.0000000000,7,18
PISR-NSGA-II,Laplace,1,0.4765138577,0.0000000000,4,12
PISR-NSGA-II,Laplace,1,4.1554379076,0.0000000000,3,14
PISR-NSGA-II,Laplace,1,4.1554379076,0.0000000000,3,14
PISR-NSGA-II,Laplace,1,4.1554379076,0.0000000000,3,14
PISR-NSGA-II,Laplace,1,4.1554379076,0.0000000000,3,14
PISR-NSGA-II,Laplace,1,4.1554379076,0.0000000000,3,14
PISR-NSGA-II,Laplace,1,4.1554379076,0.0000000000,3,14
PISR-NSGA-II,Laplace,1,4.1554379076,0.0000000000,3,14
PISR-NSGA-II,Laplace,1,4.1554379076,0.0000000000,3,14
PISR-NSGA-II,Laplace,1,2.0141752467,0.0000000000,4,13
PISR-NSGA-II,Laplace,1,1.1340620358,0.0000000000,7,19
PISR-NSGA-II,Laplace,1,1.1341057694,0.0000000000,7,20
PISR-NSGA-II,Laplace,1,1.1341057694,0.0000000000,7,20
PISR-NSGA-II,Laplace,1,1.1341057694,0.0000000000,7,20
PISR-NSGA-II,Laplace,1,1.1341057694,0.0000000000,7,20
PISR-NSGA-II,Laplace,1,3.1500151587,0.0000000000,4,14
PISR-NSGA-II,Laplace,1,4.1554379033,0.0000000000,3,13
PISR-NSGA-II,Laplace,1,1.1341903573,0.0000000000,7,21
PISR-NSGA-II,Laplace,1,3.5052302727,0.0000000000,6,16
PISR-NSGA-II,Laplace,1,4.1554378975,0.0000000000,3,12
PISR-NSGA-II,Laplace,1,3.3654100598,0.0000000000,5,15
PISR-NSGA-II,Laplace,1,5.6359876726,0.0000000000,6,17
PISR-NSGA-II,Laplace,1,4.1554378683,0.0000000000,3,8
PISR-NSGA-II,Laplace,1,1.1343762208,0.0000000000,7,22
PISR-NSGA-II,Laplace,1,4.0559156171,0.0000000000,3,4
PISR-NSGA-II,Laplace,1,6.2101735090,0.0000000000,4,15
PISR-NSGA-II,Laplace,1,1.1344213531,0.0000000000,7,23
PISR-NSGA-II,Laplace,1,4.0559156290,0.0000000000,3,5
PISR-NSGA-II,Laplace,1,1.1345793543,0.0000000000,7,24
PISR-NSGA-II,Laplace,1,10.1875466771,0.0000000000,3,15
PISR-NSGA-II,Laplace,1,10.1875466771,0.0000000000,3,15
PISR-NSGA-II,Laplace,1,1.1346715081,0.0000000000,7,25
PISR-NSGA-II,Laplace,1,11.0012913257,0.0000000000,3,16
PISR-NSGA-II,Laplace,1,1.1348436584,0.0000000000,7,26
PISR-NSGA-II,Laplace,1,0.1495089314,0.0000000000,3,3
PISR-NSGA-II,Laplace,1,13.6076319911,0.0000000000,4,17
PISR-NSGA-II,Laplace,1,12.0800823533,0.0000000000,6,19
PISR-NSGA-II,Laplace,1,0.0001224257,0.0000000000,7,4
PISR-NSGA-II,Laplace,1,13.6076319911,0.0000000000,4,17
PISR-NSGA-II,Laplace,1,0.1495089314,0.0000000000,3,3
PISR-NSGA-II,Laplace,1,13.6076319911,0.0000000000,4,17
PISR-NSGA-II,Laplace,1,12.0800823400,0.0000000000,6,18
PISR-NSGA-II,Laplace,1,0.0000000021,0.0000000000,3,1
PISR-NSGA-II,Laplace,1,12.0800823400,0.0000000000,6,18
PISR-NSGA-II,Laplace,1,0.0000000021,0.0000000000,3,1
PISR-NSGA-II,Laplace,1,0.0000000012,0.0000000000,8,30
PISR-NSGA-II,Laplace,1,0.0000000021,0.0000000000,3,1
PISR-NSGA-II,Laplace,1,0.0000000021,0.0000000000,3,1
PISR-NSGA-II,Laplace,1,12.0800823400,0.0000000000,6,18
PISR-NSGA-II,Laplace,1,0.0000000021,0.0000000000,3,1
PISR-NSGA-II,Laplace,1,0.0000000012,0.0000000000,8,30
PISR-NSGA-II,Laplace,1,12.0800823400,0.0000000000,6,18
