x,y,u_exact,u_approx
0,0,1,1
0,0.0333333,0.983471,0.97869
0,0.0666667,0.967216,0.957834
0,0.1,0.951229,0.937423
0,0.133333,0.935507,0.917446
0,0.166667,0.920044,0.897895
0,0.2,0.904837,0.87876
0,0.233333,0.889882,0.860033
0,0.266667,0.875173,0.841705
0,0.3,0.860708,0.823768
0,0.333333,0.846482,0.806212
0,0.366667,0.832491,0.789031
0,0.4,0.818731,0.772216
0,0.433333,0.805198,0.755759
0,0.466667,0.79189,0.739652
0,0.5,0.778801,0.723889
0,0.533333,0.765928,0.708462
0,0.566667,0.753269,0.693363
0,0.6,0.740818,0.678586
0,0.633333,0.728574,0.664124
0,0.666667,0.716531,0.64997
0,0.7,0.704688,0.636118
0,0.733333,0.693041,0.62256
0,0.766667,0.681586,0.609292
0,0.8,0.67032,0.596306
0,0.833333,0.659241,0.583597
0,0.866667,0.648344,0.571159
0,0.9,0.637628,0.558986
0,0.933333,0.627089,0.547072
0,0.966667,0.616724,0.535412
0,1,0.606531,0.524001
0.0333333,0,0.983471,0.97869
0.0333333,0.0333333,0.967216,0.957834
0.0333333,0.0666667,0.951229,0.937423
0.0333333,0.1,0.935507,0.917446
0.0333333,0.133333,0.920044,0.897895
0.0333333,0.166667,0.904837,0.87876
0.0333333,0.2,0.889882,0.860033
0.0333333,0.233333,0.875173,0.841705
0.0333333,0.266667,0.860708,0.823768
0.0333333,0.3,0.846482,0.806212
0.0333333,0.333333,0.832491,0.789031
0.0333333,0.366667,0.818731,0.772216
0.0333333,0.4,0.805198,0.755759
0.0333333,0.433333,0.79189,0.739652
0.0333333,0.466667,0.778801,0.723889
0.0333333,0.5,0.765928,0.708462
0.0333333,0.533333,0.753269,0.693363
0.0333333,0.566667,0.740818,0.678586
0.0333333,0.6,0.728574,0.664124
0.0333333,0.633333,0.716531,0.64997
0.0333333,0.666667,0.704688,0.636118
0.0333333,0.7,0.693041,0.62256
0.0333333,0.733333,0.681586,0.609292
0.0333333,0.766667,0.67032,0.596306
0.0333333,0.8,0.659241,0.583597
0.0333333,0.833333,0.648344,0.571159
0.0333333,0.866667,0.637628,0.558986
0.0333333,0.9,0.627089,0.547072
0.0333333,0.933333,0.616724,0.535412
0.0333333,0.966667,0.606531,0.524001
0.0333333,1,0.596506,0.512832
0.0666667,0,0.967216,0.957834
0.0666667,0.0333333,0.951229,0.937423
0.0666667,0.0666667,0.935507,0.917446
0.0666667,0.1,0.920044,0.897895
0.0666667,0.133333,0.904837,0.87876
0.0666667,0.166667,0.889882,0.860033
0.0666667,0.2,0.875173,0.841705
0.0666667,0.233333,0.860708,0.823768
0.0666667,0.266667,0.846482,0.806212
0.0666667,0.3,0.832491,0.789031
0.0666667,0.333333,0.818731,0.772216
0.0666667,0.366667,0.805198,0.755759
0.0666667,0.4,0.79189,0.739652
0.0666667,0.433333,0.778801,0.723889
0.0666667,0.466667,0.765928,0.708462
0.0666667,0.5,0.753269,0.693363
0.0666667,0.533333,0.740818,0.678586
0.0666667,0.566667,0.728574,0.664124
0.0666667,0.6,0.716531,0.64997
0.0666667,0.633333,0.704688,0.636118
0.0666667,0.666667,0.693041,0.62256
0.0666667,0.7,0.681586,0.609292
0.0666667,0.733333,0.67032,0.596306
0.0666667,0.766667,0.659241,0.583597
0.0666667,0.8,0.648344,0.571159
0.0666667,0.833333,0.637628,0.558986
0.0666667,0.866667,0.627089,0.547072
0.0666667,0.9,0.616724,0.535412
0.0666667,0.933333,0.606531,0.524001
0.0666667,0.966667,0.596506,0.512832
0.0666667,1,0.586646,0.501902
0.1,0,0.951229,0.937423
0.1,0.0333333,0.935507,0.917446
0.1,0.0666667,0.920044,0.897895
0.1,0.1,0.904837,0.87876
0.1,0.133333,0.889882,0.860033
0.1,0.166667,0.875173,0.841705
0.1,0.2,0.860708,0.823768
0.1,0.233333,0.846482,0.806212
0.1,0.266667,0.832491,0.789031
0.1,0.3,0.818731,0.772216
0.1,0.333333,0.805198,0.755759
0.1,0.366667,0.79189,0.739652
0.1,0.4,0.778801,0.723889
0.1,0.433333,0.765928,0.708462
0.1,0.466667,0.753269,0.693363
0.1,0.5,0.740818,0.678586
0.1,0.533333,0.728574,0.664124
0.1,0.566667,0.716531,0.64997
0.1,0.6,0.704688,0.636118
0.1,0.633333,0.693041,0.62256
0.1,0.666667,0.681586,0.609292
0.1,0.7,0.67032,0.596306
0.1,0.733333,0.659241,0.583597
0.1,0.766667,0.648344,0.571159
0.1,0.8,0.637628,0.558986
0.1,0.833333,0.627089,0.547072
0.1,0.866667,0.616724,0.535412
0.1,0.9,0.606531,0.524001
0.1,0.933333,0.596506,0.512832
0.1,0.966667,0.586646,0.501902
0.1,1,0.57695,0.491204
0.133333,0,0.935507,0.917446
0.133333,0.0333333,0.920044,0.897895
0.133333,0.0666667,0.904837,0.87876
0.133333,0.1,0.889882,0.860033
0.133333,0.133333,0.875173,0.841705
0.133333,0.166667,0.860708,0.823768
0.133333,0.2,0.846482,0.806212
0.133333,0.233333,0.832491,0.789031
0.133333,0.266667,0.818731,0.772216
0.133333,0.3,0.805198,0.755759
0.133333,0.333333,0.79189,0.739652
0.133333,0.366667,0.778801,0.723889
0.133333,0.4,0.765928,0.708462
0.133333,0.433333,0.753269,0.693363
0.133333,0.466667,0.740818,0.678586
0.133333,0.5,0.728574,0.664124
0.133333,0.533333,0.716531,0.64997
0.133333,0.566667,0.704688,0.636118
0.133333,0.6,0.693041,0.62256
0.133333,0.633333,0.681586,0.609292
0.133333,0.666667,0.67032,0.596306
0.133333,0.7,0.659241,0.583597
0.133333,0.733333,0.648344,0.571159
0.133333,0.766667,0.637628,0.558986
0.133333,0.8,0.627089,0.547072
0.133333,0.833333,0.616724,0.535412
0.133333,0.866667,0.606531,0.524001
0.133333,0.9,0.596506,0.512832
0.133333,0.933333,0.586646,0.501902
0.133333,0.966667,0.57695,0.491204
0.133333,1,0.567414,0.480735
0.166667,0,0.920044,0.897895
0.166667,0.0333333,0.904837,0.87876
0.166667,0.0666667,0.889882,0.860033
0.166667,0.1,0.875173,0.841705
0.166667,0.133333,0.860708,0.823768
0.166667,0.166667,0.846482,0.806212
0.166667,0.2,0.832491,0.789031
0.166667,0.233333,0.818731,0.772216
0.166667,0.266667,0.805198,0.755759
0.166667,0.3,0.79189,0.739652
0.166667,0.333333,0.778801,0.723889
0.166667,0.366667,0.765928,0.708462
0.166667,0.4,0.753269,0.693363
0.166667,0.433333,0.740818,0.678586
