x,y,u_exact,u_approx
0.000000,0.000000,0.500000,0.498357
0.000000,0.033333,0.508333,0.507247
0.000000,0.066667,0.516660,0.516041
0.000000,0.100000,0.524979,0.524738
0.000000,0.133333,0.533284,0.533340
0.000000,0.166667,0.541570,0.541850
0.000000,0.200000,0.549834,0.550271
0.000000,0.233333,0.558070,0.558606
0.000000,0.266667,0.566274,0.566860
0.000000,0.300000,0.574443,0.575036
0.000000,0.333333,0.582570,0.583136
0.000000,0.366667,0.590653,0.591164
0.000000,0.400000,0.598688,0.599122
0.000000,0.433333,0.606669,0.607011
0.000000,0.466667,0.614594,0.614834
0.000000,0.500000,0.622459,0.622593
0.000000,0.533333,0.630260,0.630286
0.000000,0.566667,0.637994,0.637917
0.000000,0.600000,0.645656,0.645483
0.000000,0.633333,0.653245,0.652987
0.000000,0.666667,0.660756,0.660428
0.000000,0.700000,0.668188,0.667806
0.000000,0.733333,0.675536,0.675120
0.000000,0.766667,0.682799,0.682371
0.000000,0.800000,0.689974,0.689557
0.000000,0.833333,0.697059,0.696679
0.000000,0.866667,0.704052,0.703734
0.000000,0.900000,0.710950,0.710723
0.000000,0.933333,0.717751,0.717644
0.000000,0.966667,0.724455,0.724494
0.000000,1.000000,0.731059,0.731272
0.033333,0.000000,0.508333,0.507417
0.033333,0.033333,0.516660,0.516323
0.033333,0.066667,0.524979,0.525123
0.033333,0.100000,0.533284,0.533818
0.033333,0.133333,0.541570,0.542410
0.033333,0.166667,0.549834,0.550901
0.033333,0.200000,0.558070,0.559295
0.033333,0.233333,0.566274,0.567596
0.033333,0.266667,0.574443,0.575809
0.033333,0.300000,0.582570,0.583935
0.033333,0.333333,0.590653,0.591978
0.033333,0.366667,0.598688,0.599941
0.033333,0.400000,0.606669,0.607827
0.033333,0.433333,0.614594,0.615638
0.033333,0.466667,0.622459,0.623377
0.033333,0.500000,0.630260,0.631044
0.033333,0.533333,0.637994,0.638641
0.033333,0.566667,0.645656,0.646170
0.033333,0.600000,0.653245,0.653630
0.033333,0.633333,0.660756,0.661022
0.033333,0.666667,0.668188,0.668346
0.033333,0.700000,0.675536,0.675604
0.033333,0.733333,0.682799,0.682794
0.033333,0.766667,0.689974,0.689917
0.033333,0.800000,0.697059,0.696972
0.033333,0.833333,0.704052,0.703959
0.033333,0.866667,0.710950,0.710878
0.033333,0.900000,0.717751,0.717726
0.033333,0.933333,0.724455,0.724503
0.033333,0.966667,0.731059,0.731207
0.033333,1.000000,0.737562,0.737835
0.066667,0.000000,0.516660,0.516299
0.066667,0.033333,0.524979,0.525223
0.066667,0.066667,0.533284,0.534032
0.066667,0.100000,0.541570,0.542725
0.066667,0.133333,0.549834,0.551304
0.066667,0.166667,0.558070,0.559775
0.066667,0.200000,0.566274,0.568141
0.066667,0.233333,0.574443,0.576405
0.066667,0.266667,0.582570,0.584573
0.066667,0.300000,0.590653,0.592647
0.066667,0.333333,0.598688,0.600631
0.066667,0.366667,0.606669,0.608528
0.066667,0.400000,0.614594,0.616342
0.066667,0.433333,0.622459,0.624075
0.066667,0.466667,0.630260,0.631729
0.066667,0.500000,0.637994,0.639306
0.066667,0.533333,0.645656,0.646808
0.066667,0.566667,0.653245,0.654236
0.066667,0.600000,0.660756,0.661591
0.066667,0.633333,0.668188,0.668874
0.066667,0.666667,0.675536,0.676086
0.066667,0.700000,0.682799,0.683226
0.066667,0.733333,0.689974,0.690296
0.066667,0.766667,0.697059,0.697294
0.066667,0.800000,0.704052,0.704222
0.066667,0.833333,0.710950,0.711079
0.066667,0.866667,0.717751,0.717863
0.066667,0.900000,0.724455,0.724575
0.066667,0.933333,0.731059,0.731212
0.066667,0.966667,0.737562,0.737774
0.066667,1.000000,0.743962,0.744258
0.100000,0.000000,0.524979,0.525018
0.100000,0.033333,0.533284,0.533962
0.100000,0.066667,0.541570,0.542777
0.100000,0.100000,0.549834,0.551466
0.100000,0.133333,0.558070,0.560031
0.100000,0.166667,0.566274,0.568479
0.100000,0.200000,0.574443,0.576814
0.100000,0.233333,0.582570,0.585040
0.100000,0.266667,0.590653,0.593161
0.100000,0.300000,0.598688,0.601181
0.100000,0.333333,0.606669,0.609104
0.100000,0.366667,0.614594,0.616935
0.100000,0.400000,0.622459,0.624675
0.100000,0.433333,0.630260,0.632329
0.100000,0.466667,0.637994,0.639899
0.100000,0.500000,0.645656,0.647387
0.100000,0.533333,0.653245,0.654795
0.100000,0.566667,0.660756,0.662124
0.100000,0.600000,0.668188,0.669377
0.100000,0.633333,0.675536,0.676553
0.100000,0.666667,0.682799,0.683654
0.100000,0.700000,0.689974,0.690680
0.100000,0.733333,0.697059,0.697632
0.100000,0.766667,0.704052,0.704510
0.100000,0.800000,0.710950,0.711314
0.100000,0.833333,0.717751,0.718043
0.100000,0.866667,0.724455,0.724698
0.100000,0.900000,0.731059,0.731277
0.100000,0.933333,0.737562,0.737779
0.100000,0.966667,0.743962,0.744203
0.100000,1.000000,0.750260,0.750547
0.133333,0.000000,0.533284,0.533590
0.133333,0.033333,0.541570,0.542552
0.133333,0.066667,0.549834,0.551371
0.133333,0.100000,0.558070,0.560052
0.133333,0.133333,0.566274,0.568601
0.133333,0.166667,0.574443,0.577023
0.133333,0.200000,0.582570,0.585324
0.133333,0.233333,0.590653,0.593508
0.133333,0.266667,0.598688,0.601580
0.133333,0.300000,0.606669,0.609545
0.133333,0.333333,0.614594,0.617406
0.133333,0.366667,0.622459,0.625169
0.133333,0.400000,0.630260,0.632836
0.133333,0.433333,0.637994,0.640410
0.133333,0.466667,0.645656,0.647896
0.133333,0.500000,0.653245,0.655296
0.133333,0.533333,0.660756,0.662611
0.133333,0.566667,0.668188,0.669843
0.133333,0.600000,0.675536,0.676994
0.133333,0.633333,0.682799,0.684066
0.133333,0.666667,0.689974,0.691058
0.133333,0.700000,0.697059,0.697973
0.133333,0.733333,0.704052,0.704810
0.133333,0.766667,0.710950,0.711570
0.133333,0.800000,0.717751,0.718253
0.133333,0.833333,0.724455,0.724859
0.133333,0.866667,0.731059,0.731387
0.133333,0.900000,0.737562,0.737838
0.133333,0.933333,0.743962,0.744209
0.133333,0.966667,0.750260,0.750501
0.133333,1.000000,0.756454,0.756710
0.166667,0.000000,0.541570,0.542035
0.166667,0.033333,0.549834,0.551009
