x,u_exact,u_approx
0,2,0.569703
0.01,1.96078,0.56191
0.02,1.92308,0.554328
0.03,1.88679,0.546947
0.04,1.85185,0.53976
0.05,1.81818,0.53276
0.06,1.78571,0.525939
0.07,1.75439,0.51929
0.08,1.72414,0.512807
0.09,1.69492,0.506484
0.1,1.66667,0.500316
0.11,1.63934,0.494295
0.12,1.6129,0.488418
0.13,1.5873,0.482679
0.14,1.5625,0.477073
0.15,1.53846,0.471596
0.16,1.51515,0.466244
0.17,1.49254,0.461011
0.18,1.47059,0.455895
0.19,1.44928,0.450891
0.2,1.42857,0.445995
0.21,1.40845,0.441205
0.22,1.38889,0.436516
0.23,1.36986,0.431927
0.24,1.35135,0.427432
0.25,1.33333,0.42303
0.26,1.31579,0.418718
0.27,1.2987,0.414493
0.28,1.28205,0.410353
0.29,1.26582,0.406294
0.3,1.25,0.402315
0.31,1.23457,0.398413
0.32,1.21951,0.394586
0.33,1.20482,0.390832
0.34,1.19048,0.387148
0.35,1.17647,0.383533
0.36,1.16279,0.379986
0.37,1.14943,0.376503
0.38,1.13636,0.373083
0.39,1.1236,0.369725
0.4,1.11111,0.366427
0.41,1.0989,0.363188
0.42,1.08696,0.360005
0.43,1.07527,0.356877
0.44,1.06383,0.353803
0.45,1.05263,0.350782
0.46,1.04167,0.347812
0.47,1.03093,0.344892
0.48,1.02041,0.34202
0.49,1.0101,0.339196
0.5,1,0.336418
0.51,0.990099,0.333685
0.52,0.980392,0.330997
0.53,0.970874,0.328351
0.54,0.961538,0.325747
0.55,0.952381,0.323184
0.56,0.943396,0.320661
0.57,0.934579,0.318178
0.58,0.925926,0.315732
0.59,0.917431,0.313324
0.6,0.909091,0.310952
0.61,0.900901,0.308616
0.62,0.892857,0.306315
0.63,0.884956,0.304047
0.64,0.877193,0.301813
0.65,0.869565,0.299612
0.66,0.862069,0.297443
0.67,0.854701,0.295304
0.68,0.847458,0.293197
0.69,0.840336,0.291119
0.7,0.833333,0.28907
0.71,0.826446,0.28705
0.72,0.819672,0.285058
0.73,0.813008,0.283094
0.74,0.806452,0.281156
0.75,0.8,0.279245
0.76,0.793651,0.277359
0.77,0.787402,0.275499
0.78,0.78125,0.273664
0.79,0.775194,0.271853
0.8,0.769231,0.270065
0.81,0.763359,0.268301
0.82,0.757576,0.26656
0.83,0.75188,0.264842
0.84,0.746269,0.263145
0.85,0.740741,0.26147
0.86,0.735294,0.259816
0.87,0.729927,0.258183
0.88,0.724638,0.256571
0.89,0.719424,0.254978
0.9,0.714286,0.253405
0.91,0.70922,0.251852
0.92,0.704225,0.250317
0.93,0.699301,0.248801
0.94,0.694444,0.247303
0.95,0.689655,0.245823
0.96,0.684932,0.244361
0.97,0.680272,0.242916
0.98,0.675676,0.241488
0.99,0.671141,0.240076
1,0.666667,0.238681
