Complexity,Loss,Equation
1,0.70687586,"0.17160933"
3,0.70446676,"inv(exp(t))"
4,0.35832328,"sin(t * 0.27975982)"
5,0.3488338,"sin(sin(t * 0.27964655))"
6,0.3059628,"cos((t / -3.8378842) + 0.9058623)"
7,0.29662505,"sin(sin((t - -2.5281825) * 0.2610766))"
8,0.283582,"sin((t * 0.25623763) + 0.7753974) - -0.15579116"
9,0.11930829,"sin(sin(t * 0.68598044) + (t * 0.2844795))"
10,0.11566293,"sin((0.2844795 * t) + sin(sin(t * 0.68598044)))"
11,0.10822273,"sin((t * 0.28521556) + sin(t * 0.6849839)) * 1.1564554"
12,0.104215555,"sin(sin(sin(t * 0.6850508)) + (t * 0.28523266)) * 1.1562688"
13,0.09903403,"tanh(sin(sin(sin(t * 0.6854074)) + (t * 0.28506273))) * 1.4183215"
14,0.0816807,"sin((sin(sin(t * 0.68538916) + (t * 0.2847861)) + 0.16032682) * 1.6941366)"
15,0.0748682,"sin((sin(sin(sin(t * 0.6850533)) + (t * 0.28492752)) + 0.15981166) * 1.6816862)"
17,0.07347301,"sin((sin(sin(sin(t * 0.68526155)) + (t * 0.2847916)) + 0.19432333) * 1.6334596) + -0.054516394"
