Complexity,Loss,Equation
1,1592.2587,"22.773968"
2,176.27478,"exp(t)"
4,130.57233,"exp(t) - 6.760455"
5,7.297684,"exp(cos(t) + t)"
6,5.1148295,"exp(t + tanh(cos(t)))"
8,3.9922805,"exp(t + tanh(cos(t + 0.025196299)))"
9,2.5146034,"t + (exp(cos(t) + t) - 2.7722516)"
10,1.4012749,"(t + exp(t + tanh(cos(t)))) - 3.4754865"
11,0.7621029,"exp(t + (tanh(tanh(cos(t))) - -0.04381956)) - 2.546322"
12,0.38136134,"exp((t - -0.2606168) + tanh(cos(t) + -0.22285335)) - 2.943298"
14,0.3813265,"exp(((t - -0.7344675) + tanh(cos(t) + -0.22202837)) + -0.47469544) - 2.9370186"
17,0.34988868,"((exp(tanh(cos(t) + -0.23717643) + (t - -0.27633628)) - 4.382496) - tanh(t)) + 2.1791637"
18,0.31354925,"exp(tanh(cos(0.15221924 - t)) + (t - -0.18862897)) - (sin(t - cos(t)) + 3.7166562)"
19,0.26979724,"exp((tanh(cos(t - 0.14891547)) + t) - -0.18716149) - (cos(t - exp(cos(t))) + 3.7651365)"
