Complexity,Loss,Equation
1,0.58321846,"t"
3,0.18867612,"t * 1.9063936"
4,0.017996717,"t / cos(t)"
5,0.0154714435,"t / sin(cos(t))"
6,0.0007646434,"t / cos(t * -1.0447575)"
7,0.000742306,"sin(t) / cos(t / -0.8966405)"
8,4.897128e-5,"t / (cos(t * -1.0949597) + 0.052134912)"
9,4.8940365e-5,"t / (cos(t * -1.0949597) + sin(0.052134912))"
10,4.5750487e-5,"((t / cos(t + 0.09040614)) - -0.010217015) / 1.1090947"
11,1.0769138e-5,"t / cos((t * sin(t + 0.37541217)) + 0.05609303)"
13,4.944791e-8,"t / cos(t * (sin((t + 0.7161018) * 0.8267939) + 0.047845624))"
