Complexity,Loss,Equation
1,0.009528917,"x"
2,7.230939e-14,"tanh(x)"
4,6.860571e-14,"tanh(x) * 0.9999999"
6,6.7438954e-14,"tanh(x + 7.782115e-8) + -1.0699405e-7"
9,6.686115e-14,"(-5.2177754e-8 * exp(x)) + tanh(x + 4.6737334e-8)"
10,6.680932e-14,"((x + 1.6038333) * -5.3715272e-8) + tanh(x - -5.5792917e-8)"
11,6.5690285e-14,"(sin(exp(exp(x + 0.8734224))) * -1.0970613e-7) + tanh(x)"
12,6.485194e-14,"(exp(sin(exp(exp(x + 0.2568967)))) * -5.9373278e-8) + tanh(x)"
14,6.207489e-14,"tanh(x) + (exp(sin(exp(exp((x + x) - -0.31010953)))) * -6.526215e-8)"
17,6.188887e-14,"((sin(exp(exp((x + x) - -0.3101094)) + 0.17753892) + 0.6514454) * -1.0970613e-7) + tanh(x)"
19,6.123449e-14,"tanh(x) + ((x + sin((0.69934976 - x) + exp(exp((x + x) - -0.3101094)))) * -1.10888834e-7)"
20,6.085196e-14,"tanh(x) + ((sin(exp(exp((x + x) - -0.3101094)) + (0.69934976 - x)) + tanh(x)) * -1.10888834e-7)"
