Complexity,Loss,Equation
1,0.006770822,"0.7233568"
4,0.0039924094,"cos(sin(cos(x)))"
5,0.00342491,"0.6263462 - (x * -0.1940195)"
6,0.00019084629,"cos(cos(tanh(x + y)))"
7,7.899441e-5,"0.52934116 - ((y + x) * -0.19401495)"
8,7.1570294e-6,"sin(0.53003967 - ((x + y) * -0.28641555))"
9,9.412129e-7,"sin(0.52331394 - sin((y + x) * -0.2997998))"
10,1.9645535e-7,"-0.06421993 - sin(((x + y) * -0.32234004) + -0.5964983)"
12,1.3716797e-7,"-0.06899301 - sin((x * -0.32565537) + (-0.6014114 + (-0.32565537 * y)))"
16,1.3716759e-7,"-0.06899301 - (x + (sin(((x * -0.32565537) + -0.6014114) + (y * -0.32565537)) - x))"
20,1.3716175e-7,"-0.06908689 - ((((sin(((x * -0.3257251) + (y * -0.3257251)) + -0.6015072) + x) - x) - x) + x)"
