Complexity,Loss,Equation
1,0.014900089,"0.8550406"
2,0.0006944043,"cos(x)"
3,0.00057444395,"cos(sin(x))"
4,0.00016867336,"cos(x * 0.9411442)"
6,0.00012971945,"exp((x * x) * -0.49821484)"
7,0.00012971938,"inv(exp(x * (x * 0.49820846)))"
8,0.00012900651,"exp(x * (x * -0.49486995)) + -0.0013581093"
10,0.00012783463,"exp(((x * x) * -0.4228687) + 0.12913291) - 0.14034009"
12,0.00012782474,"exp((x * ((x * -0.43469837) - -0.0026077505)) + 0.110567786) - 0.11978322"
13,0.00012581966,"tanh(exp(exp(x * 4.4271164))) * exp((x * -0.49821395) * x)"
14,0.00012240198,"exp(((x * x) + (0.0045015085 / ((0.33037907 - x) / 0.0045015085))) * -0.4979092)"
15,0.000119291064,"exp(((x * x) * -0.49695325) + (sin(49.435703 / exp(tanh(x))) * 0.0052355365))"
16,0.00011916425,"exp(((x * -0.49742886) * x) + sin(sin(49.294804 / exp(tanh(x))) * 0.005191757))"
17,0.0001119786,"(0.004873429 * sin(-56.86734 / ((x / 0.6604058) - 0.33030492))) + exp((x * x) * -0.4979124)"
19,0.000111835274,"(sin((-56.86734 / ((x / 0.6604058) - 0.33030492)) + 0.1039602) * 0.004873429) + exp((x * x) * -0.4979124)"
20,0.00010759852,"exp((x * (x * -0.4996481)) + (sin(-56.867313 / ((exp(x * -0.4996481) * 1.4517819) - x)) * 0.007679931))"
