Complexity,Loss,Equation
1,0.034109745,"0.65548927"
3,0.02109606,"tanh(cos(y))"
4,0.017863965,"inv(1.094974 + x)"
5,0.004914359,"cos(x) * cos(y)"
6,0.0019400761,"cos(y) + (x * -0.3849936)"
7,0.0005282967,"(y + (x + -2.5081825)) * -0.4346265"
9,0.00052829646,"(((x + y) + -2.0943592) * -0.4346137) - -0.17987208"
10,0.00034615246,"(tanh((x + -1.0053247) + y) * -0.4921165) - -0.6532408"
11,0.00033717373,"sin(tanh((y + (x + -0.43631107)) * -0.81338197) + 1.1407647)"
13,0.00033046617,"sin((tanh((y + (x + -0.17632088)) * -0.6819833) + 1.0605913) * 1.2934506)"
