Complexity,Loss,Equation
1,0.02545688,"0.6393649"
3,0.00074234145,"inv(exp(x))"
4,0.00023165953,"inv(exp(sin(x)))"
5,1.2291318e-5,"0.76014715 / (x + 0.7592256)"
6,3.3619174e-6,"inv(x + 0.9196104) - 0.09723647"
7,1.9051281e-6,"(0.92544305 / (x + 0.8713964)) + -0.068691164"
8,1.9042859e-6,"(inv(x + 0.8710328) + -0.07412148) * 0.9249967"
10,1.9042442e-6,"((inv(x + 0.8710243) - 0.06725424) + -0.0068903123) * 0.92501986"
12,1.5897632e-6,"inv(x + 0.89638305) - (cos(tanh(tanh(tanh(x)))) * 0.120052174)"
13,4.1696455e-7,"inv(x + 0.8685865) - (cos(tanh(tanh(x + x))) * 0.15306428)"
14,3.3478437e-7,"inv(x + 0.8708) - (cos(tanh(tanh(tanh(x) + x))) * 0.15061833)"
15,2.7669083e-7,"inv(x + 0.87249786) - (cos(tanh(tanh(tanh(tanh(x)) + x))) * 0.14874306)"
16,1.746003e-7,"(inv(x + 0.8574718) - (cos(tanh(tanh(x + sin(x)))) * 0.13776685)) * 0.97066754"
17,1.4971289e-7,"(inv(x + 0.8584951) - (cos(tanh(tanh(sin(sin(x)) + x))) * 0.13679379)) * 0.9708488"
18,1.2632448e-7,"(inv(x + 0.8615682) * 0.9735212) - (cos(tanh(tanh(sin(tanh(tanh(x))) + x))) * 0.13230573)"
19,1.2526392e-7,"(inv(x + 0.8611804) * 0.97248226) - (cos(tanh(tanh(tanh(sin(sin(sin(x)))) + x))) * 0.13156106)"
20,1.2459816e-7,"(inv(x + 0.8611803) * 0.972489) - (cos(tanh(tanh(sin(sin(sin(sin(sin(x))))) + x))) * 0.13155617)"
