Complexity,Loss,Equation
1,0.025279462,"0.6391652"
3,0.0017234264,"inv(exp(x))"
4,0.001139775,"inv(exp(sin(x)))"
5,0.0009013812,"exp(cos(x + 1.5964366))"
6,0.0008626021,"inv(x + 0.93354297) - 0.08960977"
8,0.0008625645,"(inv(x + 0.9418262) - 0.09314017) * 1.0128531"
10,0.00086249335,"inv(x + 0.9385123) - ((x * 0.0041795215) + 0.08485668)"
11,0.0008610051,"(inv(x + 0.80375326) - 0.26124763) * exp(x * 0.37115398)"
12,0.0008608334,"sin(exp(x * 0.38332)) * (inv(x + 0.7633801) - 0.14075282)"
13,0.0008405352,"sin((inv(x + 0.5106518) - 0.23008934) * tanh(exp(x * x)))"
15,0.0008220029,"inv(x + 0.9339346) - (((sin(x * 32.662315) * -0.28574675) + 2.8615904) * 0.031269718)"
16,0.0008206652,"inv(x + 0.93947685) - (0.030166963 * (2.8618548 + (-0.28297424 * sin(32.6608 * tanh(x)))))"
17,0.0008182112,"inv(x + 0.9274808) - (((cos((x + 0.025631776) * 64.93888) * 0.06498426) + -1.2042303) * -0.078259856)"
18,0.00080906024,"inv(x + 0.9388442) - (((sin((0.9388442 + 32.45706) * tanh(x)) * -0.35289901) + 2.854637) * 0.030216243)"
19,0.0007785272,"inv(x + 0.93787104) - (((sin(exp(exp(x + 0.92822534)) * -0.1981259) * -0.4904515) + 2.8615735) * 0.03065741)"
