Complexity,Loss,Equation
1,0.020282364,"0.20465979"
3,0.0008071045,"x * 0.42796594"
5,0.0004637839,"(x * 0.48286512) + -0.036783706"
6,5.1134717e-5,"(exp(x) * 0.2860807) + -0.28732127"
7,4.9514678e-5,"x - (sin(sin(x)) * 0.6859789)"
8,4.3099993e-5,"(x * 1.4625876) - (sin(x) * 1.1462998)"
10,4.309412e-5,"((x * tanh(x * 0.18285723)) - -0.31803715) * x"
11,4.2799587e-5,"(x * (((x * 0.17738274) * x) - -0.3226952)) + -0.0014881023"
13,4.274905e-5,"(((x * ((x * 0.18741529) + -0.015495005)) + 0.32912904) * x) + -0.0020468652"
14,4.274184e-5,"((((sin(x * 0.19245942) + -0.020967707) * x) + 0.33090302) * x) + -0.0021726887"
