Complexity,Loss,Equation
1,0.021409247,"0.20451838"
3,0.0014525104,"x * 0.4294521"
5,0.0010417056,"(x * 0.48950806) + -0.040237468"
6,0.0006873938,"-0.29338303 - (exp(x) * -0.28952858)"
8,0.0006872372,"(1.010735 - exp(x * 1.024183)) * -0.27885205"
12,0.0006869788,"(1.0150243 - exp(x - (-0.0013126186 / sin(exp(x))))) * -0.28920683"
13,0.000686275,"(1.0130386 - exp(x - (-0.0027847239 / cos(x + 0.36325976)))) * -0.28516692"
14,0.00064433337,"(1.015193 - exp(x - (-0.0011081089 / (x - (0.11402255 - x))))) * -0.28904748"
15,0.0006419608,"(1.015193 - exp(x - (-0.0011081089 / sin(x - (0.11291444 - x))))) * -0.28904748"
16,0.000641876,"(1.015193 - exp(x - tanh(-0.0011081089 / sin(x - (0.11291444 - x))))) * -0.28904748"
17,0.00062023517,"(1.0238872 - exp(x - (tanh(0.035951436 / (x - (0.11077895 - x))) * -0.1183382))) * -0.29081562"
