Complexity,Loss,Equation
1,8.501073e-7,"y"
3,7.2966685e-7,"y * 1.0005963"
5,3.9093376e-7,"(y * 1.0022724) - 0.0011349805"
7,3.9092592e-7,"((y * 2.002273) + -0.001136468) - y"
8,1.1488089e-8,"(sin(y * -6.2830806) * 0.0013164796) + y"
11,3.7741823e-9,"y + ((sin(y * -6.2830534) * 0.001553579) * cos(x))"
12,5.0236487e-10,"((sin(y * -6.2830534) * 0.0014914717) * cos(tanh(x))) + y"
13,5.023637e-10,"(tanh(sin(-6.2830534 * y) * 0.0014914717) * cos(tanh(x))) + y"
14,2.5761315e-11,"y + (sin(y * -6.2830534) * (cos(tanh(x - -0.3008661)) * 0.0016565882))"
16,1.3848108e-11,"((cos(tanh((x * 0.9562166) - -0.3220877)) * sin(y * -6.284633)) * 0.0016579925) + y"
