Complexity,Loss,Equation
1,0.003407182,"y"
3,0.0034023167,"y + -0.0022060273"
5,0.0034016934,"(x * -0.004023987) + y"
6,0.0033849976,"tanh(y * 15.87219) * y"
8,0.0033830493,"(tanh(y * 16.06247) * 0.99758947) * y"
9,0.0033805666,"y * tanh((cos(x) * 17.899956) * y)"
10,0.0033727987,"tanh(y * (sin(exp(x)) * 17.75166)) * y"
11,0.0033654133,"tanh((16.939049 * y) - sin(15.828963 * x)) * y"
12,0.0033472236,"tanh((y * 17.313086) - cos(-15.3408 * tanh(x))) * y"
14,0.0033426636,"y * tanh((y * 15.716714) - sin(14.255265 - (sin(x) * -13.939038)))"
